query,priceCategory,options,parking
오늘의당도,1만원 대,포장배달제로페이주차,Yes
델링유,,,No
리프레셔스,,무선 인터넷포장,No
크로플로신당점,1만원 대,,No
풀떼기,,,No
타자기,2만원 대,무선 인터넷남/녀 화장실 구분,No
오즈커피&맥주,1만원 대,주차,Yes
지금;여기커피앤비어,,,No
커피_#샵,,,No
렌테,2만원 대,,No
조앤도슨,2만원 대,반려동물 동반제로페이,No
커피할루카,,,No
단희,1만원 대,,No
쎄이썸띵,1만원 대,단체 이용 가능반려동물 동반포장지역화폐 (모바일형)제로페이지역화폐 (카드형),No
아이키친,1만원 대,포장무선 인터넷남/녀 화장실 구분단체 이용 가능유아의자대기공간제로페이주차,Yes
레인드랍이수점,,,No
더치앤빈서울고,,,No
메가엠지씨커피신림역,,,No
팥고당명일명성점,2만원 대,포장예약무선 인터넷단체 이용 가능남/녀 화장실 구분유아의자,No
카페효제눅,,,No
홈스윗홈,1만원 대,단체 이용 가능포장예약무선 인터넷간편결제주차,Yes
설빙상계역점,2만원 대,,No
커피빈신촌점,1만원 대,,No
대복상회,,,No
명동커피숍,,,No
할리스신대방삼거리역점,,남/녀 화장실 구분무선 인터넷,No
인치스,2만원 대,단체 이용 가능포장배달무선 인터넷예약주차,Yes
동감,2만원 대,포장배달,No
만랩커피동평화패션타운점,,,No
티하우스,1만원 대,남/녀 화장실 구분간편결제,No
코코버블티명동,,포장배달무선 인터넷제로페이,No
달리는커피서울삼각산점,2만원 대,포장무선 인터넷배달남/녀 화장실 구분제로페이,No
카페클라라,,,No
퐁치커피이수역점,1만원 대,배달포장무선 인터넷단체 이용 가능,No
카페HBD,1만원 대,주차제로페이반려동물 동반단체 이용 가능포장배달,Yes
누와,,,No
카페오방,1만원 대,포장무선 인터넷예약주차,Yes
카페하이,1만원 대,포장무선 인터넷제로페이,No
빽다방,1만원 대,,No
플로우FLOW,2만원 대,남/녀 화장실 구분무선 인터넷반려동물 동반대기공간제로페이간편결제,No
유니토스엔카페주,,,No
카마노,,,No
롯데컬처웍스㈜롯데시네마가양,,,No
카페쿠디,1만원 대,포장예약무선 인터넷남/녀 화장실 구분간편결제제로페이주차,Yes
커피기업디타워돈의문점,1만원 대,주차포장,Yes
메가엠지씨커피,1만원 대,주차무선 인터넷포장배달남/녀 화장실 구분,Yes
Webconey,,,No
씽씽커피,,,No
카페리시오,,단체 이용 가능예약무선 인터넷포장남/녀 화장실 구분제로페이지역화폐 (모바일형)지역화폐 (카드형),No
삼광석회카페아셀,,,No
웜히어,1만원 대,,No
커피볶는집낙타,1만원 대,단체 이용 가능주차무선 인터넷예약제로페이반려동물 동반포장배달,Yes
매머드익스프레스을지로,1만원 대,,No
카페레인보우,,단체 이용 가능무선 인터넷남/녀 화장실 구분포장배달간편결제제로페이주차,Yes
에그카페24,,,No
카페보스,,포장배달주차,Yes
컴포즈커피서울경희대점,,,No
비브릿지,1만원 대,단체 이용 가능포장무선 인터넷제로페이반려동물 동반배달,No
까까당,2만원 대,포장배달반려동물 동반예약무선 인터넷간편결제,No
차밍디쉬,,,No
빈스빈스커피가로수길점,,,No
베러,1만원 대,단체 이용 가능포장간편결제지역화폐 (지류형)지역화폐 (카드형)지역화폐 (모바일형)제로페이,No
광흥창카페,,,No
한잎,1만원 대,예약주차포장남/녀 화장실 구분무선 인터넷,Yes
채플린커피호프,,,No
정정,,,No
놀면뭐하개,,,No
카페아에,,,No
에스티이사사,1만원 대,예약포장무선 인터넷남/녀 화장실 구분배달지역화폐 (모바일형)지역화폐 (카드형)제로페이지역화폐 (지류형),No
디무무,,,No
행스카페,,,No
민스가베,,,No
커스텀커피세곡점,,,No
요지트,,포장배달예약제로페이,No
노란손수건,,,No
설빙충무로점,,,No
카페529,,,No
끼,,무선 인터넷포장반려동물 동반제로페이,No
얀앤욘,1만원 대,무선 인터넷포장제로페이예약,No
조블라,1만원 대,포장예약무선 인터넷간편결제주차,Yes
로투스랩,,,No
백스트로크,,,No
커딕트커피CODDICTCOFFEE,,,No
세드릭커피컴퍼니,,,No
아임빈,,,No
연진,,,No
퀸즈베리도넛하우스,1만원 대,포장단체 이용 가능무선 인터넷예약,No
방배동커피집,,남/녀 화장실 구분단체 이용 가능반려동물 동반무선 인터넷제로페이간편결제주차,Yes
비어니스트유기농베이커리,,포장배달예약무선 인터넷반려동물 동반대기공간주차,Yes
베가니끄,1만원 대,포장반려동물 동반,No
요거프레소,,,No
원피앤에스,,,No
빽다방노원문화의,1만원 대,,No
인텔리젠시아커피서촌,1만원 대,포장남/녀 화장실 구분무선 인터넷,No
워니트리,2만원 대,,No
오늘의위로,1만원 대,,No
밍기적,1만원 대,단체 이용 가능무선 인터넷제로페이지역화폐 (모바일형)지역화폐 (카드형)지역화폐 (지류형)포장,No
스위트이스트,,,No
소소카페,,,No
마을찻집마주이야기,1만원 대,단체 이용 가능포장무선 인터넷예약방문접수/출장지역화폐 (모바일형)제로페이주차,Yes
매머드익스프레스용산,1만원 대,포장,No
일찍여는카페,1만원 대,무선 인터넷포장배달제로페이간편결제,No
피카롱,,,No
이디야커피대림1동점,1만원 대,포장,No
오도레,,,No
커피베이서초사임당점,1만원 대,포장배달예약반려동물 동반무선 인터넷남/녀 화장실 구분단체 이용 가능간편결제,No
사가커피,1만원 대,,No
케이오지,,단체 이용 가능포장예약무선 인터넷반려동물 동반간편결제,No
할로,1만원 대,포장예약단체 이용 가능무선 인터넷간편결제,No
샌드데이,7만원 대,단체 이용 가능예약포장무선 인터넷반려동물 동반유아시설 (놀이방)대기공간제로페이지역화폐 (모바일형)지역화폐 (카드형)지역화폐 (지류형)간편결제주차,Yes
뉴서울호텔,2만원 대,,No
뉴제로마켓,1만원 대,주차단체 이용 가능예약포장남/녀 화장실 구분제로페이지역화폐 (지류형)지역화폐 (카드형)지역화폐 (모바일형),Yes
비엔나커피하우스,1만원 대,예약단체 이용 가능남/녀 화장실 구분무선 인터넷포장,No
빽다방동묘역점,1만원 대,,No
더벤티,,무선 인터넷포장,No
별콩다방,1만원 대,포장무선 인터넷주차제로페이지역화폐 (모바일형)지역화폐 (카드형)예약단체 이용 가능,Yes
낙랑파라,1만원 대,무선 인터넷단체 이용 가능제로페이,No
헤이키커피충무로점,1만원 대,단체 이용 가능포장무선 인터넷반려동물 동반간편결제제로페이,No
만렙커피,,,No
이디야상봉,1만원 대,포장,No
빽다방상봉이지,1만원 대,포장예약단체 이용 가능대기공간남/녀 화장실 구분무선 인터넷제로페이간편결제주차,Yes
빅벨에프앤비,,,No
신천비버리지,,,No
잎차,1만원 대,,No
부트카페,,단체 이용 가능포장무선 인터넷반려동물 동반제로페이,No
아마스빈미아사거리역점,1만원 대,,No
골드버튼커피,1만원 대,반려동물 동반단체 이용 가능무선 인터넷남/녀 화장실 구분포장예약배달,No
에이치지케이그룹이태원지점,,,No
은정,,,No
모크커피;MOCC,,,No
ㅤㅁㅗㅋ커피점,,,No
발렙,1만원 대,단체 이용 가능포장예약무선 인터넷남/녀 화장실 구분주차,Yes
골든볼,1만원 대,포장배달예약무선 인터넷남/녀 화장실 구분간편결제주차,Yes
채가/구테로이테,,,No
정,1만원 대,포장예약반려동물 동반제로페이간편결제,No
리드커피스탠드,1만원 대,예약포장무선 인터넷제로페이지역화폐 (모바일형)배달,No
더룸컴퍼니,,,No
노아스로스팅파스텔시티점,1만원 대,단체 이용 가능주차무선 인터넷남/녀 화장실 구분장애인 편의시설포장,Yes
카페봄울,,,No
페라주,,,No
글레이트,,,No
이루리,1만원 대,제로페이주차포장반려동물 동반배달,Yes
커피빈방배카페골목점,1만원 대,포장,No
공차서울과학기술대점,,,No
메가엠지씨커피동평화점,,,No
서서울,1만원 대,남/녀 화장실 구분무선 인터넷,No
죠아찌쥬스,,,No
더에일,,,No
한국농아인협회서울특별시협회은평구지회사,,,No
미미씨,10만원 대,무선 인터넷남/녀 화장실 구분예약,No
어텐디북촌점,,,No
위드미건대입구역점,,,No
세움사회적협동조합,,,No
버티컬,1만원 대,포장무선 인터넷남/녀 화장실 구분예약간편결제제로페이지역화폐 (모바일형),No
10꼬르소꼬모카페,,단체 이용 가능예약주차무선 인터넷발렛파킹남/녀 화장실 구분포장,Yes
10꼬르소꼬모,,단체 이용 가능예약주차무선 인터넷발렛파킹남/녀 화장실 구분포장,Yes
사직커피,1만원 대,무선 인터넷반려동물 동반포장제로페이주차,Yes
카페엔지,,예약,No
스톡드!,,,No
텐퍼센트스페셜티커피서초역점,1만원 대,포장배달,No
리틀웜히어,,,No
리와리커피패밀리,,,No
이디야커피함지박사거리,1만원 대,포장,No
휘게릿,,,No
