query,priceCategory,options,parking
우지커피당산생각공장점,1만원 대,포장무선 인터넷배달지역화폐 (카드형)지역화폐 (모바일형)제로페이간편결제,No
메가엠지씨커피당산생각공장점,,,No
매머드익스프레스당산생각공장점,1만원 대,,No
해피커피,,포장,No
커피사피엔스당산생각공장점,1만원 대,,No
인더스트리얼,1만원 대,포장배달무선 인터넷반려동물 동반남/녀 화장실 구분제로페이간편결제지역화폐 (모바일형)주차,Yes
헬로우베이글,,주차,Yes
담다,1만원 대,포장배달예약반려동물 동반방문접수/출장단체 이용 가능대기공간지역화폐 (카드형)지역화폐 (모바일형)지역화폐 (지류형)제로페이주차,Yes
커피하우스융,,단체 이용 가능주차무선 인터넷남/녀 화장실 구분,Yes
프루츠앤코,1만원 대,포장배달무선 인터넷반려동물 동반주차,Yes
메가엠지씨커피방이,1만원 대,,No
바른커피,1만원 대,배달포장반려동물 동반,No
소아베커피,,,No
상향선,1만원 대,단체 이용 가능반려동물 동반예약무선 인터넷포장주차,Yes
탐앤탐스잠실새내역점,,,No
브라이트사이드,1만원 대,무선 인터넷남/녀 화장실 구분반려동물 동반예약단체 이용 가능포장배달지역화폐 (카드형),No
파리바게트강남을지,,,No
우연히만난하루,,무선 인터넷포장남/녀 화장실 구분,No
카페차이관악,,,No
더치앤드립,,,No
팡파르,2만원 대,예약반려동물 동반지역화폐 (지류형)지역화폐 (카드형)제로페이지역화폐 (모바일형)주차,Yes
험블커피,2만원 대,단체 이용 가능반려동물 동반무선 인터넷포장대기공간간편결제,No
오픈케어스포츠투어,,,No
현명커피,,,No
커피숍강남고려병원,,,No
오프아이디어,1만원 대,단체 이용 가능무선 인터넷남/녀 화장실 구분포장,No
이디야커피화곡,,포장,No
메일룸,1만원 대,남/녀 화장실 구분반려동물 동반포장단체 이용 가능무선 인터넷,No
탐앤탐스용두동아제약점,1만원 대,,No
여원,,,No
브론토커피,1만원 대,포장배달예약지역화폐 (카드형)주차,Yes
창창커피,,단체 이용 가능배달포장예약무선 인터넷반려동물 동반지역화폐 (카드형)제로페이지역화폐 (모바일형),No
쥬씨&차얌은행,1만원 대,,No
컴포즈커피은행,,,No
설탕한스푼설렘두스푼,1만원 대,배달예약무선 인터넷,No
까페엠마,1만원 대,단체 이용 가능포장남/녀 화장실 구분,No
데이롱카페구로중앙하이츠점,1만원 대,무선 인터넷단체 이용 가능반려동물 동반포장간편결제,No
메가엠지씨커피이태원점,,,No
달공이디저트,1만원 대,예약포장무선 인터넷,No
두구두구,1만원 대,무선 인터넷포장제로페이간편결제,No
커피별녹색잔,2만원 대,포장무선 인터넷남/녀 화장실 구분제로페이단체 이용 가능,No
에스엠씨,,,No
세베르,,,No
이디야화곡중앙,,,No
커피스미스강남삼성로점,1만원 대,단체 이용 가능무선 인터넷반려동물 동반남/녀 화장실 구분대기공간간편결제주차발렛파킹,Yes
한들,,,No
가원thecafe,1만원 대,배달예약무선 인터넷포장단체 이용 가능제로페이간편결제,No
담소커피,,,No
슬로우포레스트,,,No
성북동테이블,2만원 대,포장배달제로페이,No
카페이든,1만원 대,단체 이용 가능포장남/녀 화장실 구분,No
카페우디충무로점,,,No
컴포즈커피까치산,1만원 대,,No
더마실카페,1만원 대,포장무선 인터넷남/녀 화장실 구분단체 이용 가능간편결제주차,Yes
플럿,1만원 대,포장반려동물 동반간편결제,No
쥬씨차얌,1만원 대,포장배달예약무선 인터넷지역화폐 (카드형)제로페이간편결제,No
카페데미,1만원 대,주차,Yes
몽듀,,,No
반코디,,주차,Yes
뭐든지,,,No
청춘커피,1만원 대,예약포장반려동물 동반단체 이용 가능배달제로페이주차,Yes
식빵은여기메가커피,1만원 대,,No
제이오케이컴퍼니커피온리,,,No
에잇비돌체월드,,,No
카페미뇽잠실역,,,No
하우잠실역점,,,No
카페미뇽잠실역점,,,No
에디션엠,1만원 대,남/녀 화장실 구분노키즈존대기공간,No
스탠스커피,1만원 대,예약포장남/녀 화장실 구분무선 인터넷단체 이용 가능,No
샐러드하임,,,No
더카페용문,,,No
컴포즈커피사가정역점,,,No
더벤티명일역점,,포장무선 인터넷배달단체 이용 가능대기공간주차,Yes
타미하우스예술의전당점,,,No
무인카페메일빈24,1만원 대,단체 이용 가능무선 인터넷,No
순자네다락방,1만원 대,포장무선 인터넷제로페이,No
로스팅마스터즈,1만원 대,무선 인터넷제로페이지역화폐 (카드형)지역화폐 (모바일형)주차,Yes
동묘의,,포장남/녀 화장실 구분반려동물 동반무선 인터넷예약,No
동묘앞구제,1만원 대,포장배달대기공간무선 인터넷단체 이용 가능예약반려동물 동반간편결제제로페이주차,Yes
대박천억커피,1만원 대,포장배달,No
망우로스팅랩,1만원 대,주차포장무선 인터넷남/녀 화장실 구분예약배달,Yes
후피,,주차포장반려동물 동반,Yes
카페수양사,1만원 대,무선 인터넷포장예약,No
피치,10만원 대,예약포장무선 인터넷남/녀 화장실 구분대기공간주차,Yes
빽다방몽촌토성역점,1만원 대,포장배달무선 인터넷남/녀 화장실 구분유아의자제로페이간편결제지역화폐 (모바일형),No
토프레소,1만원 대,무선 인터넷포장단체 이용 가능제로페이간편결제,No
카페07,1만원 대,포장단체 이용 가능예약무선 인터넷,No
하늘숲,1만원 대,단체 이용 가능예약무선 인터넷간편결제,No
볼트커피,1만원 대,포장배달방문접수/출장단체 이용 가능무선 인터넷대기공간반려동물 동반간편결제,No
도비네,,,No
컴포즈커피목동깨비,,,No
무등산닭한마리,,,No
나인센스,,,No
유어오븐서대문역점,1만원 대,포장무선 인터넷반려동물 동반남/녀 화장실 구분지역화폐 (카드형)지역화폐 (모바일형)제로페이간편결제,No
쑥인당,1만원 대,단체 이용 가능포장무선 인터넷반려동물 동반남/녀 화장실 구분배달방문접수/출장예약대기공간주차,Yes
머그,1만원 대,남/녀 화장실 구분무선 인터넷포장배달,No
깡커피77,1만원 대,포장배달예약제로페이,No
알베르,1만원 대,단체 이용 가능남/녀 화장실 구분무선 인터넷포장,No
토팡가,1만원 대,,No
투샷,,예약단체 이용 가능포장무선 인터넷,No
천사의미소,,,No
카페보스서울,,포장배달주차,Yes
메가엠지씨커피중구중림점,,,No
이에스티디2017,,포장제로페이무선 인터넷배달,No
라프레아,,단체 이용 가능포장배달무선 인터넷반려동물 동반남/녀 화장실 구분주차,Yes
굿무디,2만원 대,단체 이용 가능포장예약무선 인터넷반려동물 동반남/녀 화장실 구분간편결제,No
파스쿠찌보라매공원점,,단체 이용 가능주차포장무선 인터넷남/녀 화장실 구분,Yes
청파맨션,1만원 대,단체 이용 가능포장반려동물 동반무선 인터넷예약제로페이지역화폐 (카드형)간편결제주차,Yes
카페로우,1만원 대,포장예약무선 인터넷단체 이용 가능배달간편결제제로페이주차,Yes
매일그개와,,,No
메가엠지씨커피굽은다리역점,,,No
매머드익스프레스동아프라임밸리점,1만원 대,무선 인터넷남/녀 화장실 구분포장배달간편결제제로페이주차,Yes
카페라루즈,1만원 대,무선 인터넷포장제로페이지역화폐 (모바일형),No
메가엠지씨커피수서,1만원 대,,No
매머드익스프레스수서역점,,,No
배고픈형제들,,,No
빽다방굽은다리역점,1만원 대,,No
비엠케이에프앤비,,,No
파이트클럽,1만원 대,,No
칵칵,,포장무선 인터넷반려동물 동반,No
다리치2,,,No
다리치,,,No
참호도과자앤커피,,,No
그림커피GrimmCoffee,,,No
디저트로이,1만원 대,반려동물 동반포장,No
빙빙빙,,포장배달예약제로페이무선 인터넷,No
델디아,,포장예약단체 이용 가능무선 인터넷제로페이,No
카페하늘빛,1만원 대,포장남/녀 화장실 구분주차,Yes
커피맥아더,,,No
웰컴,1만원 대,단체 이용 가능포장배달예약무선 인터넷제로페이지역화폐 (모바일형)간편결제지역화폐 (카드형),No
꽃뜨락사이,,,No
커피스니퍼,1만원 대,무선 인터넷포장,No
세시당,,,No
허브카페,1만원 대,단체 이용 가능무선 인터넷반려동물 동반,No
버터하이,1만원 대,포장배달예약반려동물 동반단체 이용 가능,No
방구석여행,1만원 대,,No
히읗히읗,,,No
후라이드커피항아리카노,,,No
J&J로스팅샵,,,No
공차회기점,,남/녀 화장실 구분포장배달무선 인터넷,No
리에또,,,No
진스프레소,,,No
카페051성신여대역점,1만원 대,포장제로페이,No
엔코바,1만원 대,주차,Yes
보까,,단체 이용 가능포장무선 인터넷제로페이,No
빽다방지하도점,1만원 대,,No
강다짐원유로스페셜티강남역지하,,,No
쥬스식스,,,No
플로리안커피,,포장예약제로페이지역화폐 (카드형)지역화폐 (모바일형),No
레드애플,2만원 대,단체 이용 가능포장남/녀 화장실 구분,No
더벤티강남역지하,,,No
이디야커피강동,,포장,No
파란고양이와단팥빵카페,,포장예약반려동물 동반,No
아마스빈응암역점,,,No
카페.김랩,,,No
카페요아정경희외대점,,포장배달무선 인터넷,No
카페코브,1만원 대,포장단체 이용 가능무선 인터넷예약간편결제제로페이지역화폐 (모바일형)지역화폐 (지류형),No
행운다방,2만원 대,단체 이용 가능무선 인터넷반려동물 동반,No
텐퍼센트커피종로5가역점,1만원 대,배달포장지역화폐 (모바일형)제로페이간편결제,No
이반,,,No
커피중심,1만원 대,포장무선 인터넷남/녀 화장실 구분간편결제제로페이,No
메가엠지씨커피화곡중앙,,,No
로우톤커피,,포장무선 인터넷간편결제주차,Yes
티하우스청담,2만원 대,무선 인터넷반려동물 동반단체 이용 가능포장배달제로페이간편결제주차,Yes
레스피레,1만원 대,단체 이용 가능포장반려동물 동반예약무선 인터넷남/녀 화장실 구분간편결제주차,Yes
별이빛나는,1만원 대,단체 이용 가능포장예약배달반려동물 동반무선 인터넷제로페이,No
아비아채서울,1만원 대,남/녀 화장실 구분반려동물 동반제로페이주차,Yes
스스쿠,,포장예약배달대기공간제로페이주차,Yes
파인공덕역북카페지점,,,No
더하비스트,,포장주차,Yes
매머드익스프레스가양양천초점,1만원 대,포장무선 인터넷제로페이간편결제,No
스페이스,,무선 인터넷남/녀 화장실 구분,No
이디야본서부,,,No
카페유유히,1만원 대,배달포장반려동물 동반제로페이무선 인터넷,No
바그,,,No
커피에반하다영등포,1만원 대,무선 인터넷단체 이용 가능포장제로페이,No
케이어트랙션943킹스크로스,,,No
라이언킹,,,No
더달달,1만원 대,간편결제,No
커피빈시청역7번출구,,,No
알티드,,,No
올드프렌드,,,No
샤인트리,2만원 대,단체 이용 가능포장,No
오르빗,1만원 대,포장예약반려동물 동반남/녀 화장실 구분무선 인터넷단체 이용 가능배달간편결제주차,Yes
매머드익스프레스뚝섬역5번점,,,No
카페차를즐기다,,포장제로페이지역화폐 (모바일형)지역화폐 (카드형),No
서울테라리움-피어나,,,No
뿌찌샌드위치,,,No
커피,,무선 인터넷반려동물 동반,No
맨스필드커피,,,No
안고가,,,No
티1680,1만원 대,포장무선 인터넷,No
우리모두브라보,,,No
빽다방대림역점,,,No
메가엠지씨커피대림역점,,,No
일심당,,,No
스텀멜,,단체 이용 가능포장반려동물 동반예약,No
투썸플레이스은평,1만원 대,주차,Yes
아프리쿠스,1만원 대,무선 인터넷포장반려동물 동반제로페이간편결제,No
카페J제이,1만원 대,단체 이용 가능무선 인터넷포장장애인 편의시설남/녀 화장실 구분,No
카페이퍼스,1만원 대,포장무선 인터넷반려동물 동반단체 이용 가능배달,No
양재동커피,1만원 대,,No
주민카페휴,,,No
클라우드핑크,,,No
랑데자뷰시흥,,,No
쥬시&차얌홈플러스,1만원 대,포장지역화폐 (지류형)지역화폐 (카드형)주차,Yes
아짙풍크트,1만원 대,반려동물 동반무선 인터넷포장배달제로페이간편결제,No
썸띵어바웃커피,,무선 인터넷남/녀 화장실 구분,No
카페토스피아,,포장무선 인터넷예약,No
이가비,1만원 대,단체 이용 가능포장무선 인터넷배달,No
컬렉션서울,,,No
컬렉션,,,No
키른,,,No
코너샵카페,1만원 대,포장예약무선 인터넷방문접수/출장간편결제주차,Yes
카프온카우치,1만원 대,단체 이용 가능무선 인터넷포장노키즈존지역화폐 (모바일형)제로페이,No
무프아파트먼트,2만원 대,단체 이용 가능포장배달예약무선 인터넷간편결제지역화폐 (모바일형)제로페이,No
온고잉,1만원 대,포장무선 인터넷배달제로페이,No
프로젝트보이드,1만원 대,포장무선 인터넷예약간편결제,No
메가엠지씨커피영등포역남부점,1만원 대,,No
로스태쉬,,,No
이디야신당,,포장,No
쥴리스샵,,,No
낫띵뉴,1만원 대,반려동물 동반포장무선 인터넷,No
바재커피,,,No
띠아모,1만원 대,단체 이용 가능포장배달예약무선 인터넷남/녀 화장실 구분대기공간지역화폐 (지류형)지역화폐 (카드형)지역화폐 (모바일형)간편결제주차,Yes
맘콜베이비카페동작점,,,No
한주하의가배볶는집,1만원 대,주차포장남/녀 화장실 구분제로페이지역화폐 (카드형)지역화폐 (모바일형)지역화폐 (지류형),Yes
메가엠지씨커피보라매타운점,,,No
스필드컵,,,No
노잉로스팅하우스,,포장배달무선 인터넷예약단체 이용 가능제로페이간편결제지역화폐 (지류형)지역화폐 (모바일형)지역화폐 (카드형),No
카페드리브,1만원 대,포장배달무선 인터넷남/녀 화장실 구분반려동물 동반제로페이예약,No
램미커피,1만원 대,무선 인터넷반려동물 동반포장제로페이,No
공차DDP,,,No
카페드페소니아,,예약포장무선 인터넷단체 이용 가능유아의자제로페이주차,Yes
커피붕붕커피볶는집디자인플라자점,1만원 대,제로페이간편결제지역화폐 (모바일형)주차,Yes
고망고DDP,2만원 대,주차포장남/녀 화장실 구분지역화폐 (모바일형)제로페이단체 이용 가능,Yes
오타르DDP점,,,No
마스터다이닝,,,No
커피빈하나금융명동사옥점,1만원 대,,No
컴포즈커피구로깔깔,1만원 대,,No
더벤티아현역점,,포장무선 인터넷,No
컴포즈커피염창,1만원 대,,No
파스쿠찌신사역점,,배달무선 인터넷남/녀 화장실 구분단체 이용 가능포장간편결제,No
히긴스,1만원 대,단체 이용 가능예약포장무선 인터넷지역화폐 (카드형)지역화폐 (모바일형)제로페이주차,Yes
어반파크,,,No
티피와이보사노바커피로스터스,,,No
카페베네방,,,No
팔공커피,,,No
하이루,1만원 대,,No
컴포즈커피군자점,1만원 대,,No
학커피숍,,,No
카페마루,,주차발렛파킹,Yes
추억의다방,,,No
플럼,,포장반려동물 동반배달예약발렛파킹주차,Yes
온커피,1만원 대,단체 이용 가능포장무선 인터넷남/녀 화장실 구분주차,Yes
디저트39신림역점,,포장무선 인터넷간편결제,No
아이노우,,단체 이용 가능포장무선 인터넷예약제로페이간편결제주차,Yes
비슬로,,제로페이포장무선 인터넷예약주차,Yes
커피이레,,주차,Yes
카페아이엠티중앙대평동캠퍼스점,1만원 대,,No
커피벌스데이,2만원 대,포장반려동물 동반무선 인터넷,No
레벨커피바,,,No
아지트카페,5만원 대,무선 인터넷단체 이용 가능포장예약,No
엠제이에이치백그라운드,,,No
뽀프POFF,1만원 대,포장배달예약무선 인터넷제로페이,No
티스,2만원 대,무선 인터넷배달포장남/녀 화장실 구분단체 이용 가능제로페이,No
오버트연남,1만원 대,단체 이용 가능반려동물 동반무선 인터넷,No
잇다,1만원 대,포장예약남/녀 화장실 구분무선 인터넷제로페이간편결제,No
히트커피로스터스서교,,단체 이용 가능남/녀 화장실 구분반려동물 동반포장무선 인터넷주차,Yes
카페커먼띵스,1만원 대,포장무선 인터넷제로페이간편결제,No
얌저트,1만원 대,포장예약무선 인터넷배달제로페이,No
카페스윗백년관점,,,No
포레스트카페,1만원 대,포장예약배달반려동물 동반제로페이간편결제지역화폐 (지류형)주차,Yes
제이카페,2만원 대,주차,Yes
나띵벗커피,1만원 대,포장,No
듀케이크,5만원 대,주차,Yes
블렌더스,2만원 대,포장방문접수/출장예약간편결제제로페이,No
위드커피,1만원 대,주차무선 인터넷제로페이,Yes
가회한경헌,,,No
퐁치커피화양점,,배달포장예약단체 이용 가능주차무선 인터넷남/녀 화장실 구분간편결제,Yes
어빌리티커피,1만원 대,포장무선 인터넷,No
더쌍화피카디리,,,No
피카디리갤러리카페,2만원 대,단체 이용 가능포장무선 인터넷예약,No
컴포즈커피성대,,,No
카페나누기,1만원 대,무선 인터넷포장제로페이,No
비스트로.마인,1만원 대,무선 인터넷단체 이용 가능예약반려동물 동반포장배달제로페이지역화폐 (카드형)지역화폐 (지류형)지역화폐 (모바일형)간편결제주차,Yes
이너프,1만원 대,포장반려동물 동반무선 인터넷대기공간방문접수/출장지역화폐 (모바일형)주차,Yes
에이치컴퍼니,,,No
디케이1744,,,No
착한커피누하동지점,,,No
캔디와앨리스,1만원 대,,No
르네,2만원 대,주차배달무선 인터넷반려동물 동반제로페이지역화폐 (카드형)예약포장,Yes
미셸푸드카페안젤로서초평화지점주,,,No
라루,1만원 대,,No
비아드라비,1만원 대,예약단체 이용 가능무선 인터넷남/녀 화장실 구분포장대기공간주차,Yes
캘리스,1만원 대,포장예약주차남/녀 화장실 구분단체 이용 가능반려동물 동반무선 인터넷제로페이,Yes
쉐어빈,,,No
카페낭만부부,1만원 대,포장예약제로페이무선 인터넷배달지역화폐 (카드형)지역화폐 (모바일형),No
블루샥,2만원 대,포장예약남/녀 화장실 구분무선 인터넷대기공간반려동물 동반제로페이간편결제주차,Yes
일호상회,1만원 대,지역화폐 (지류형)간편결제제로페이,No
도나파스텔,,주차무선 인터넷포장예약배달남/녀 화장실 구분,Yes
핫곰,,,No
뜨개쟁이카페,1만원 대,무선 인터넷배달포장,No
디스코플래닛,1만원 대,단체 이용 가능포장무선 인터넷반려동물 동반간편결제주차,Yes
크럼피,,,No
루즈벨트,,,No
카페쇼콜라,1만원 대,예약단체 이용 가능포장무선 인터넷,No
일이이로,1만원 대,무선 인터넷,No
메가엠지씨커피중랑묵동점,,,No
아토커피,1만원 대,예약주차포장무선 인터넷,Yes
메가엠지씨커피석촌고분역,,,No
한드드립,1만원 대,무선 인터넷,No
카페만,,,No
도화당,,,No
메가엠지씨커피망우금란점,,,No
아이커피샵,,포장제로페이남/녀 화장실 구분무선 인터넷지역화폐 (모바일형),No
아띠커피,1만원 대,단체 이용 가능포장남/녀 화장실 구분무선 인터넷제로페이지역화폐 (카드형)지역화폐 (모바일형),No
워크엑스,2만원 대,남/녀 화장실 구분포장반려동물 동반무선 인터넷배달단체 이용 가능,No
재신,1만원 대,단체 이용 가능반려동물 동반무선 인터넷대기공간포장간편결제,No
버블앤샷,1만원 대,,No
와이아이엠펫,,,No
글루닉,2만원 대,포장무선 인터넷배달간편결제,No
케이크숲,1만원 대,예약단체 이용 가능주차포장무선 인터넷남/녀 화장실 구분,Yes
골목커피,,포장배달,No
그대쉴꽃,7만원 대,무선 인터넷예약단체 이용 가능,No
코스트,,,No
데니스커피남강점,,,No
커피스튜디오,10만원 대,예약,No
선물같은하루,,포장예약주차,Yes
종로1번지,,,No
델루나카페&갤러리,1만원 대,단체 이용 가능무선 인터넷예약,No
심우방,,,No
올리다,,,No
스튜디오패뷸러스,,,No
매드커피,,,No
씨오커피로스터스,,,No
일프레소신수점,,,No
커피빈서초역1번출구,,,No
키노베이크룸,,,No
스위피,,포장예약무선 인터넷배달제로페이,No
푸른풀밭,,예약단체 이용 가능주차발렛파킹포장무선 인터넷,Yes
애쉬앤블룸1,,,No
폴링디저트,1만원 대,단체 이용 가능예약무선 인터넷포장,No
카페무탈,,,No
펠리스,2만원 대,,No
베로나,1만원 대,포장무선 인터넷반려동물 동반지역화폐 (지류형)지역화폐 (모바일형)제로페이지역화폐 (카드형)간편결제,No
구티,1만원 대,단체 이용 가능포장무선 인터넷남/녀 화장실 구분제로페이간편결제,No
남녘,1만원 대,포장무선 인터넷남/녀 화장실 구분제로페이,No
피피클럽,,,No
히든커피,,,No
명일동고덕역카페수요일,1만원 대,주차포장예약단체 이용 가능무선 인터넷남/녀 화장실 구분지역화폐 (카드형)제로페이지역화폐 (모바일형)지역화폐 (지류형),Yes
라보아트블루,,,No
통인길커피점,,,No
서촌커피,,포장무선 인터넷간편결제,No
플랫폼1021,1만원 대,포장남/녀 화장실 구분무선 인터넷,No
컴포즈대치한티,1만원 대,포장무선 인터넷예약제로페이지역화폐 (모바일형),No
클린컵,,포장반려동물 동반배달남/녀 화장실 구분주차,Yes
다카페,,,No
컴포즈커피구로,,,No
스트라다146,1만원 대,,No
카페봄날,5만원 대,단체 이용 가능포장예약무선 인터넷제로페이지역화폐 (모바일형),No
반포다방,,,No
빽다방한예종석관점,,,No
쉴만한물가12,,무선 인터넷,No
어게인,1만원 대,포장무선 인터넷남/녀 화장실 구분반려동물 동반단체 이용 가능배달대기공간유아의자제로페이지역화폐 (모바일형)지역화폐 (카드형)간편결제주차,Yes
라운징북스,,,No
커피빌라,1만원 대,포장무선 인터넷반려동물 동반단체 이용 가능,No
다다,1만원 대,예약단체 이용 가능무선 인터넷반려동물 동반포장배달제로페이주차,Yes
이디야당산,1만원 대,포장,No
더요고,,,No
카페인중독대방점,1만원 대,,No
노우즈,5만원 대,예약남/녀 화장실 구분,No
푸른,,,No
구동커피,1만원 대,,No
크로닉CHRONIC,,,No
페츠베리머치카페,,,No
프랍,,,No
타이드워터,1만원 대,포장무선 인터넷반려동물 동반제로페이간편결제,No
빽다방거여역점,1만원 대,주차무선 인터넷배달남/녀 화장실 구분제로페이,Yes
오크라,,,No
청집,,,No
메가엠지씨커피광흥창역점,,,No
후엠아이컨설팅,,,No
원디아더,1만원 대,포장무선 인터넷남/녀 화장실 구분,No
한옥,7만원 대,단체 이용 가능예약무선 인터넷반려동물 동반포장배달제로페이지역화폐 (지류형)간편결제지역화폐 (모바일형)주차,Yes
온더코너,,무선 인터넷예약단체 이용 가능배달포장유아의자제로페이,No
센서리커피로스터스SensoryCoffeeRoasters,1만원 대,포장제로페이,No
카페넘버쓰리,1만원 대,포장,No
온니당,5만원 대,배달포장반려동물 동반주차,Yes
커피에반하다방학역점,1만원 대,,No
앤아더,,예약단체 이용 가능주차무선 인터넷포장남/녀 화장실 구분제로페이,Yes
공차내방역점,1만원 대,,No
이디야커피내방역점,1만원 대,포장,No
광성,,,No
그릭띠아요거트,,,No
하이오커피마포,1만원 대,,No
빽다방대치,1만원 대,포장무선 인터넷,No
마일드모디쉬클럽,1만원 대,단체 이용 가능포장무선 인터넷배달예약간편결제제로페이지역화폐 (모바일형)주차,Yes
머그포래빗,,,No
메가엠지씨커피구로전화국점,,,No
플리에,,,No
요거트가족,,단체 이용 가능포장배달예약무선 인터넷간편결제주차,Yes
카페모닥불,1만원 대,무선 인터넷포장예약반려동물 동반단체 이용 가능,No
늑커피구의,1만원 대,포장무선 인터넷남/녀 화장실 구분배달지역화폐 (모바일형)제로페이간편결제주차,Yes
디플랜,,,No
컴포즈커피남영동점,,포장예약무선 인터넷제로페이간편결제지역화폐 (모바일형),No
클라우드시큐리티,,,No
오쏘,,,No
노벨라,,반려동물 동반포장예약무선 인터넷,No
러드디,1만원 대,포장예약제로페이무선 인터넷반려동물 동반,No
조해산업디앤엠,,,No
샘터찻집,,,No
카페데코믹스,,,No
025베이커리,1만원 대,포장무선 인터넷단체 이용 가능예약간편결제주차,Yes
엔젤디오주,,,No
디자이너리카페,1만원 대,무선 인터넷남/녀 화장실 구분단체 이용 가능포장예약대기공간제로페이지역화폐 (모바일형)간편결제주차,Yes
토스트가마시는커피,,,No
자이데커피,,,No
메리골드,1만원 대,단체 이용 가능포장배달예약무선 인터넷주차,Yes
타래퀸,2만원 대,,No
카페슈스,1만원 대,단체 이용 가능반려동물 동반포장예약무선 인터넷남/녀 화장실 구분,No
메가엠지씨커피서울역센트레빌점,,,No
압구정볶는커피,1만원 대,,No
이십세기청년,,,No
메모아,2만원 대,단체 이용 가능포장무선 인터넷예약반려동물 동반주차,Yes
로이즈커피,1만원 대,남/녀 화장실 구분,No
비앤케이로스터즈,,,No
심플이브닝,,,No
이디야커피회기,,포장,No
설빙서울회기점,,,No
돌커피,1만원 대,포장무선 인터넷,No
커피바이준천재,1만원 대,,No
미니멀비,1만원 대,무선 인터넷반려동물 동반남/녀 화장실 구분포장단체 이용 가능예약간편결제주차,Yes
수유리조트,1만원 대,무선 인터넷단체 이용 가능포장반려동물 동반남/녀 화장실 구분배달제로페이,No
이디야면목역점,,포장,No
아소프로아,,,No
커피빈논현2015번지,,,No
드리퍼,1만원 대,무선 인터넷예약포장주차,Yes
다반향,2만원 대,주차,Yes
헤이리커피공장103,,,No
메가엠지씨커피홍대입구역점,1만원 대,,No
티앙팡,,,No
티앙팡오후의홍차,1만원 대,,No
파오,1만원 대,예약단체 이용 가능포장무선 인터넷남/녀 화장실 구분배달,No
두더지손,,,No
봄봄,,,No
컴포즈커피삼양,1만원 대,,No
금농,,,No
더카페하임즈,1만원 대,단체 이용 가능포장예약무선 인터넷남/녀 화장실 구분반려동물 동반제로페이,No
공릉동편한커피,,,No
온더바닐라,2만원 대,포장무선 인터넷제로페이주차,Yes
푼,1만원 대,배달예약무선 인터넷,No
메가엠지씨커피논현가구,,,No
열두달봄,,,No
데이스타,,주차,Yes
엔제이파크,,,No
컵CUB,1만원 대,무선 인터넷포장반려동물 동반단체 이용 가능간편결제제로페이,No
트라이앵글커피,,,No
커피라움,,포장배달무선 인터넷반려동물 동반제로페이,No
파파,1만원 대,포장무선 인터넷예약배달제로페이지역화폐 (모바일형),No
한지붕커피에반하다,,,No
엔제리너스빅마켓,,주차포장방문접수/출장무선 인터넷남/녀 화장실 구분,Yes
메가엠지씨커피남대문,,,No
카페토크,,반려동물 동반단체 이용 가능무선 인터넷배달포장,No
메가엠지씨커피마포,1만원 대,,No
블루노트커피신설동점,,,No
쓰리엑스라지커피,1만원 대,포장단체 이용 가능방문접수/출장예약제로페이간편결제,No
서플먼트커피,1만원 대,단체 이용 가능포장무선 인터넷반려동물 동반남/녀 화장실 구분간편결제제로페이주차,Yes
카페달력,1만원 대,포장무선 인터넷배달예약제로페이주차,Yes
분더바스토어,,,No
몽슈와,2만원 대,포장예약,No
0125커피바,1만원 대,포장무선 인터넷반려동물 동반배달간편결제제로페이,No
앤드커피랩주,,,No
헤일리스카페,,,No
엘랑,,,No
카페노란코끼리,1만원 대,포장,No
컴포즈커피동덕여대점,,,No
전통다원,2만원 대,포장남/녀 화장실 구분배달주차,Yes
꽃한잔,,,No
아우어베이커리옥수점,5만원 대,단체 이용 가능포장무선 인터넷남/녀 화장실 구분,No
투썸플레이스창동,,,No
카페65,,무선 인터넷포장제로페이예약,No
고나카페,2만원 대,주차포장배달무선 인터넷예약지역화폐 (모바일형)지역화폐 (카드형)제로페이반려동물 동반,Yes
마음마루,1만원 대,주차예약남/녀 화장실 구분,Yes
랜드폴커피,1만원 대,반려동물 동반포장단체 이용 가능무선 인터넷남/녀 화장실 구분예약간편결제,No
준희빈다방,,,No
부자부동산공인중개사사무소,,,No
커피인류대치르엘점,1만원 대,,No
드링크맨션,,,No
바빈스커피,,,No
그대를위한커피,1만원 대,배달방문접수/출장주차무선 인터넷제로페이,Yes
이삐커피고대,1만원 대,포장무선 인터넷예약단체 이용 가능대기공간,No
컴포즈커피어린이대공원,1만원 대,단체 이용 가능포장배달예약무선 인터넷남/녀 화장실 구분유아의자대기공간간편결제지역화폐 (모바일형)제로페이,No
피헨,,,No
카페드엣지,1만원 대,포장배달무선 인터넷방문접수/출장단체 이용 가능예약반려동물 동반제로페이주차,Yes
매머드익스프레스강일점,1만원 대,,No
냥냥하우스,,,No
은꼬시,,,No
리유,1만원 대,단체 이용 가능포장예약무선 인터넷남/녀 화장실 구분제로페이,No
구반포커피,,,No
아로이커피구산역점,,,No
카페블라썸,,주차,Yes
파스쿠찌서대문역점,1만원 대,주차포장무선 인터넷남/녀 화장실 구분장애인 편의시설,Yes
논탄토,2만원 대,단체 이용 가능포장반려동물 동반제로페이지역화폐 (카드형),No
신촌브루스,1만원 대,무선 인터넷남/녀 화장실 구분,No
라파예트,1만원 대,배달무선 인터넷포장단체 이용 가능예약남/녀 화장실 구분제로페이,No
