상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
오슬로우노량진점,3120153,509.9107464208923,0.0,4.2,43783388235.10154
에스페레커피,3130137,108.3944122386832,31.0,4.425,42495942376.29444
이디야연남동점,3110509,214.81625468119455,48.0,4.234999999999999,712641522.9412274
컨티넨탈커피,3130072,99.2653134019608,85.0,4.4,7433202811.869356
플,3110958,149.151843004184,2.0,5.0,111585157.64245659
빅스트로우,3120007,202.75176563674384,0.0,4.37,1104111333.9372754
컴포즈커피사가정역점,3120068,131.9839546343928,10.0,5.0,3091777227.418419
카페콤피,3120227,4572.539918049973,267.0,4.625,32459945494.72133
커피집,3130024,2076.573464369631,307.44444444444446,4.200555555555556,26992716847.595985
아르봉봉,3120104,64.44477941372242,0.0,,725782502.900548
카페드앙떼띠,3120165,143.77355700917116,0.0,,3952429228.8645635
플레이스원,3110316,123.76496827284669,60.0,4.654999999999999,2167169407.7027283
온휠스로스터즈,3110625,46.22082704178565,13.0,4.609999999999999,1367970425.5213137
커피원,3120004,1102.0717780752952,839.0,4.612500000000001,23614287590.676666
남산아래,3110080,84.18912655606952,238.0,4.4,599575106.56145
리커버리커피바,3110124,84.27302629953377,193.0,4.4725,504115327.13896346
에스디인터내셔날나인블럭예술의전당점,3120171,289.9299873299515,0.0,4.4,3523403592.136251
카페프라미스,3120187,413.2967988728249,99.0,4.5,6820512192.403008
파오,3130179,333.12459917479816,60.0,4.49,1116065257.0092404
서울에스프레소,3120050,53.17755557561185,6.0,5.0,380178582.6098276
이어커피로스터스,3110576,57.73119637644544,347.0,4.67,2291140570.0997524
본정초코렛,3130024,1975.809102149987,0.0,,12123988928.35856
솔커피숍,3130033,7796.622436234671,21.0,5.0,5484658133.07447
뽀뽀,3130024,125.7173043925198,4.0,4.0,4547252367.5746765
프라자,3130024,98.6646928204417,10.0,4.665,4715635524.421787
샘터찻집,3130024,67.74551285722525,0.0,,4116002339.3774047
카페7그램,3120192,7642.3077716896605,0.0,4.32,12875919380.238565
을지,3120031,167.98739332735306,76.0,4.285,3213785423.561976
