TRDAR_CD,TRDAR_CD_N,카페_점포_수,RELM_AR,단위면적당_카페수
3110329,우리은행체육관,3,88610.0,0.03385622390249408
3110330,돌곶이역 1번,4,72476.0,0.05519068381257244
3110331,돌곶이역 8번,11,105931.0,0.10384117963580067
3110333,돌곶이역 5번,6,67373.0,0.08905644694462173
3110334,석관중앙교회,2,84276.0,0.023731548720869525
3110335,석계역 7번,11,140761.0,0.07814664573283793
3110336,석관고등학교,1,62554.0,0.015986187933625346
3110337,아카데미하우스,17,120638.0,0.1409174555281089
3110338,인수초등학교,1,99103.0,0.010090511891668265
3110339,국립4.19민주묘지,1,12372.0,0.0808276753960556
3110340,인수중학교,2,50149.0,0.03988115416060141
3110341,북한산우이역 2번,8,140183.0,0.05706826077341761
3110342,국립재활원,3,62499.0,0.0480007680122882
3110343,무너미어린이공원,5,105257.0,0.047502778912566386
3110344,화계중학교,3,38830.0,0.07725985063095545
3110345,솔밭공원역 2번,9,103855.0,0.08665928457946175
3110346,4.19민주묘지역 2번,8,60794.0,0.1315919334144817
3110347,구세군강북종합사회복지관,1,32980.0,0.03032140691328078
3110348,강북문화예술회관,7,122433.0,0.057174127890356356
3110349,화계역 2번,1,26807.0,0.03730368933487522
3110350,가오리역 2번,6,75348.0,0.0796305144131231
3110351,수유북부시장옆,4,78839.0,0.05073631070916678
3110352,수유1동주민센터,4,134108.0,0.029826706833298536
3110353,수유동우체국,1,75187.0,0.013300171572213281
3110354,삼각산119안전센터,2,17571.0,0.11382391440441636
3110355,삼양사거리역 2번,3,101492.0,0.029558980018129507
3110356,덕수교,3,102062.0,0.029393897826811156
3110357,가오리역 1번,2,47879.0,0.04177196683305834
3110358,인수동 우편취급국,9,111455.0,0.08075007850702078
3110359,수유시장옆,5,135413.0,0.036924076713461776
3110360,수유초등학교,6,106526.0,0.05632427764113925
3110361,삼양사거리역 1번,1,74852.0,0.013359696467696254
3110362,우이천 계성교,7,142902.0,0.048984618829687486
3110363,송천동주민센터,2,26098.0,0.0766342248448157
3110364,미아역 8번,3,127150.0,0.023594180102241447
3110365,미아역 5번,3,115228.0,0.026035338632971153
3110366,광산사거리,5,57563.0,0.08686135191008112
3110367,강북구청,7,63938.0,0.10948105977665863
3110369,성신여대운정그린캠퍼스,10,133932.0,0.0746647552489323
3110370,도봉세무서,7,108984.0,0.06422961168611907
3110371,삼양입구사거리,4,62809.0,0.06368514066455444
3110372,강북중학교,10,82483.0,0.12123710340312549
3110373,수유역 2번,6,84732.0,0.0708114997875655
3110374,송중초등학교,5,204374.0,0.024464951510466106
3110375,서울북부고용노동지청,3,58262.0,0.051491538223885205
3110376,수송초등학교,12,208928.0,0.057436054525961094
3110377,미아사거리역 3번,4,35635.0,0.11224919320892382
3110378,송중동주민센터,5,53154.0,0.09406629792677879
3110380,강북문화정보도서관,1,40504.0,0.024688919612877742
3110381,번동주공2단지,3,50484.0,0.05942476824340385
3110382,솔밭공원역 1번,2,40166.0,0.049793357566100684
3110383,덕성여대시반거리,14,43039.0,0.3252863681776993
3110384,문이교,1,108209.0,0.009241375486327384
3110385,효문고등학교,1,96072.0,0.010408860021650429
3110386,연산군묘,1,16363.0,0.06111348774674571
3110387,쌍문초등학교,4,143845.0,0.027807709687510864
3110388,도봉우체국,4,55371.0,0.07223998121760489
3110389,한일병원,4,52890.0,0.07562866326337682
3110390,방학초등학교,6,61821.0,0.09705439899063426
3110391,샘말어린이공원,3,245401.0,0.012224889059131787
3110392,발바닥공원,2,10355.0,0.1931434089811685
3110393,국민은행방학지점,3,21358.0,0.140462590130162
3110394,방학중학교,6,157817.0,0.03801871788210395
3110395,신한은행 방학동지점,3,52472.0,0.057173349595975
3110396,쌍문역1번(쌍리단길),8,52971.0,0.15102603311245777
3110397,도봉산입구,12,542024.0,0.02213924106681623
3110398,쌍문2동우체국,7,102318.0,0.06841415977638343
3110399,창2동주민센터,9,161205.0,0.05582953382339257
3110400,도봉구보건소,11,123299.0,0.08921402444464269
3110402,도봉구 정병원,12,118386.0,0.10136333688105013
3110403,방학1동주민센터,6,153054.0,0.03920185032733545
3110404,신창초등학교,16,297142.0,0.05384630917204569
3110405,방학역 1번,7,185625.0,0.03771043771043771
3110406,도봉산역 1번,11,247532.0,0.044438698834898115
3110407,도봉역 2번,11,454340.0,0.02421094334639257
3110408,가인초등학교,7,53197.0,0.13158636765231121
3110409,창동역 2번,14,77642.0,0.18031477808402668
3110410,방학역 2번,9,130951.0,0.06872799749524632
3110411,도봉역 3번,4,90321.0,0.044286489299277025
