상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
도서출판에이앤에이,,종로구,서울특별시 종로구 자하문로 276,집합,부암동,기타,788.7995120980737,238.61077866116332,149.785798,35740.50589316372
티그린임대,,강남구,서울특별시 강남구 언주로174길 30,집합,신사동,기타,788.4606306384643,238.50826748093178,101.256654,24150.54911645616
오일오,,강동구,서울특별시 강동구 양재대로 1390,집합,둔촌동,기타,787.9112000770211,238.34206548400422,131.33943399999998,31303.711979060048
스타이야기,양재점,서초구,서울특별시 서초구 양재천로 131,집합,양재동,기타,786.9388629120315,238.04793481518286,225.257212,53622.01411882583
커피빈강서그랜드아이파크,코리아,강서구,서울특별시 강서구 화곡로 341,집합,화곡동,기타,786.5979567511969,237.9448111655868,150.645306,35845.268889152045
까페카노,,광진구,서울특별시 광진구 아차산로 636,집합,광장동,기타,785.0536056759523,237.47764706756377,208.033994,49403.42340518768
매머드익스프레스수유,시장점,강북구,서울특별시 강북구 도봉로67길 18,집합,수유동,기타,784.7068484852023,237.37275348938297,101.256654,24035.570769101745
컴포즈커피수유,시장점,강북구,서울특별시 강북구 도봉로67길 18,집합,수유동,기타,784.7068484852023,237.37275348938297,285.224424,67704.50688730324
투썸플레이스대웅제약사옥점,,강남구,서울특별시 강남구 봉은사로114길 12,집합,삼성동,기타,781.3599461949627,236.36032010253575,131.33943399999998,31043.430662325864
카페엔스토어이끌리오,,은평구,서울특별시 은평구 서오릉로 45,집합,녹번동,기타,780.9551584287124,236.23787235425988,115.107956,27192.858616487763
쉘위커피,,강북구,서울특별시 강북구 노해로 90,집합,수유동,기타,780.2462741433438,236.0234358229003,285.224424,67319.6485330877
더벤티홍제역점,,서대문구,서울특별시 서대문구 통일로 472,집합,홍제동,기타,780.1949362884861,236.0079061916892,115.107956,27166.387681565087
카페준,,서초구,서울특별시 서초구 서초중앙로5길 10-8,집합,서초동,기타,780.0772095418724,235.97229401109337,139.60393399999998,32942.66055895327
아이비,,서초구,서울특별시 서초구 서초중앙로5길 10-8,집합,서초동,기타,780.0772095418724,235.97229401109337,131.33943399999998,30992.46753509859
스타벅스,서초우성사거리,서초구,서울특별시 서초구 강남대로 343,집합,서초동,기타,779.4837102214077,235.7927612745501,145.984128,34422.00064337736
컴포즈커피강일리버파크점,,강동구,서울특별시 강동구 아리수로93길 27,집합,강일동,기타,779.1387646782655,235.68841571730457,164.397434,38746.57076745014
세이프토피아,,강남구,서울특별시 강남구 봉은사로 613,집합,삼성동,기타,776.9140942647978,235.01545594554958,208.033994,48891.20395208373
디저트39이수역점,,서초구,서울특별시 서초구 서초대로 12,집합,방배동,기타,776.5757059732446,234.9130939479837,131.33943399999998,30853.352798317
매머드익스프레스이수역점,,서초구,서울특별시 서초구 서초대로 12,집합,방배동,기타,776.5757059732446,234.9130939479837,140.33121,32965.63871856423
빽다방둔촌동역점,,강동구,서울특별시 강동구 양재대로 1367,집합,성내동,기타,776.0731923986762,234.7610842757203,149.785798,35163.87634758402
카페오늘의기분,,종로구,서울특별시 종로구 새문안로3길 12,집합,신문로1가,기타,775.1495529667328,234.48168460485596,136.463424,31998.173546466733
곳온니플레이스MOFAT,,종로구,서울특별시 종로구 새문안로3길 12,집합,신문로1가,기타,775.1495529667328,234.48168460485596,115.107956,26990.707434301636
벌새,,종로구,서울특별시 종로구 새문안로3길 12,집합,신문로1가,기타,775.1495529667328,234.48168460485596,149.785798,35122.026244922665
폴바셋신문로점,,종로구,서울특별시 종로구 새문안로3길 12,집합,신문로1가,기타,775.1495529667328,234.48168460485596,150.645306,35323.56512869402
커피원,,종로구,서울특별시 종로구 새문안로3길 12,집합,신문로1가,기타,775.1495529667328,234.48168460485596,90.975616,21332.115697644487
컴포즈,,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,208.033994,48737.29991737468
파이브센소커피,,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,115.107956,26966.991627570096
팀커피,,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,136.463424,31970.057851409925
파란만잔,여의도점,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,90.975616,21313.37190093995
샌드그린,,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,164.397434,38514.31630209825
메가엠지씨커피여의,중앙점,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,164.397434,38514.31630209825
카페오오디,,영등포구,서울특별시 영등포구 국제금융로8길 19,집합,여의도동,기타,774.4684557027598,234.2756536096436,140.33121,32876.185944582154
라운지리포즈,,영등포구,서울특별시 영등포구 국제금융로2길 17,집합,여의도동,기타,773.2836223755655,233.91724314101444,123.273282,28835.74627838484
제이에스아트테인먼트,,강남구,서울특별시 강남구 테헤란로4길 46,집합,역삼동,기타,772.9648631434387,233.82081890720514,226.84399600000003,53040.84890890277
빽다방태극당점,강남역,강남구,서울특별시 강남구 테헤란로4길 46,집합,역삼동,기타,772.9648631434387,233.82081890720514,115.93440600000001,27107.8777504404
이디야,,강남구,서울특별시 강남구 테헤란로4길 46,집합,역삼동,기타,772.9648631434387,233.82081890720514,148.794058,34791.148490086176
로스터리락온1호점,강남역,강남구,서울특별시 강남구 테헤란로4길 46,집합,역삼동,기타,772.9648631434387,233.82081890720514,150.645306,35224.008813446504
와플앨리,,강남구,서울특별시 강남구 테헤란로4길 46,집합,역삼동,기타,772.9648631434387,233.82081890720514,101.256654,23675.913758083527
커피빈새문안로점,코리아,종로구,서울특별시 종로구 새문안로 91,집합,신문로1가,기타,772.883533003392,233.79621665055114,164.397434,38435.498096258685
카페플라토스,,영등포구,서울특별시 영등포구 버드나루로14가길 19,집합,당산동,기타,770.9726553076923,233.21817874877254,226.84399600000003,52904.14360721385
케머스정동그집,,중구,서울특별시 중구 정동길 18,집합,정동,기타,767.5436982565146,232.18092390843807,136.463424,31684.203864028925
빽다방정릉,시장점,성북구,서울특별시 성북구 보국문로 50,집합,정릉동,기타,767.1066122385971,232.04870598299868,225.257212,52270.644557938
커피수기,,강남구,서울특별시 강남구 도산대로46길 21,집합,논현동,기타,766.0588123209819,231.73174793423132,164.397434,38096.10473672243
컴포즈커피논현스마일점,,강남구,서울특별시 강남구 도산대로46길 21,집합,논현동,기타,766.0588123209819,231.73174793423132,115.93440600000001,26865.682548096836
발도스커피,,양천구,서울특별시 양천구 등촌로 32,집합,목동,기타,765.8297792594235,231.66246574487974,148.794058,34469.99836446665
엘브라더스,,강동구,서울특별시 강동구 천호대로 1165,집합,길동,기타,765.0361550253048,231.42239549437497,140.33121,32475.784780824186
이디야커피순천향,병원점,용산구,서울특별시 용산구 대사관로 72,집합,한남동,기타,764.6287521055162,231.29915666571367,114.744318,26540.26398558247
메가엠지씨커피,서울시립대점,동대문구,서울특별시 동대문구 전농로 222,집합,전농동,기타,762.9646570293311,230.79577017040688,101.256654,23369.60744480841
메가엠지씨커피,대치은마점,강남구,서울특별시 강남구 도곡로 510,집합,대치동,기타,762.1941301479281,230.56268683765748,139.60393399999998,32187.458116146998
우리들cafe,,성북구,서울특별시 성북구 동소문로46길 10,집합,하월곡동,기타,762.0452882757879,230.51766237394517,226.84399600000003,52291.547681484575
커피조중계은행,사거리점,노원구,서울특별시 노원구 한글비석로 250,집합,중계동,기타,761.6821639573288,230.40781776191204,149.785798,34511.81884890657
감성커피,중계점,노원구,서울특별시 노원구 한글비석로 250,집합,중계동,기타,761.6821639573288,230.40781776191204,226.84399600000003,52266.63009075191
앤틀러스,,금천구,서울특별시 금천구 범안로17길 9,집합,독산동,기타,761.1489412185813,230.24651860928708,115.93440600000001,26693.493368535645
E&B인터내셔널,,중구,서울특별시 중구 마른내로12길 7-4,집합,충무로5가,기타,760.8772666754115,230.16433742979356,115.93440600000001,26683.965742306686
카페그라티아,,구로구,서울특별시 구로구 중앙로 79,집합,고척동,기타,760.0926305279319,229.9269860632621,90.975616,20917.749192128686
카페스윗,동대문점,중구,서울특별시 중구 퇴계로 299,집합,쌍림동,기타,759.6073955665823,229.78020314797698,123.273282,28325.759780677854
로스터리젠,,강남구,서울특별시 강남구 테헤란로 624,집합,대치동,기타,759.3669096896587,229.7074564975675,136.463424,31346.66603198911
카페콤마,,송파구,서울특별시 송파구 문정로 19,집합,문정동,기타,759.2539890362718,229.67329815363053,150.645306,34599.20428038291
스타벅스,경복궁사거리,종로구,서울특별시 종로구 율곡로 6,집합,중학동,기타,759.0133887001898,229.60051687948146,145.984128,33518.031245000384
쥐쥐앤비카페,,강서구,서울특별시 강서구 강서로 330,집합,내발산동,기타,759.0067015013606,229.5984940109385,148.794058,34162.89163457624
에센허브커피신사역점,,강남구,서울특별시 강남구 도산대로 138,집합,논현동,기타,758.2099060236413,229.35746446356143,101.256654,23223.969421504135
백억커피,방이점,송파구,서울특별시 송파구 오금로11길 11-8,집합,방이동,기타,757.8864116910725,229.259607868314,145.984128,33468.26394027776
놀숲송파,구청점,송파구,서울특별시 송파구 오금로11길 11-8,집합,방이동,기타,757.8864116910725,229.259607868314,226.84399600000003,52006.16557024139
탐앤탐스,방이점,송파구,서울특별시 송파구 오금로11길 11-8,집합,방이동,기타,757.8864116910725,229.259607868314,285.224424,65390.43960070573
초원티스프레소,,강서구,서울특별시 강서구 양천로 532,집합,등촌동,기타,756.3294346178766,228.78862442309776,226.84399600000003,51899.3258034787
준혁티스프레소,,강서구,서울특별시 강서구 양천로 532,집합,등촌동,기타,756.3294346178766,228.78862442309776,140.33121,32106.18449952886
오하나강서점,,강서구,서울특별시 강서구 양천로 532,집합,등촌동,기타,756.3294346178766,228.78862442309776,177.984272,40720.776759826476
서영씨앤아이,,마포구,서울특별시 마포구 독막로 10,집합,합정동,기타,754.1616629992703,228.1328764593352,226.84399600000003,51750.57331500993
골든서울호텔커피숍투썸플레이스,,강서구,서울특별시 강서구 공항대로 663,집합,염창동,기타,753.9171219258278,228.0589031174989,208.033994,47444.00448279235
깡철이,,서초구,서울특별시 서초구 서초중앙로 49,집합,서초동,기타,753.4971475362087,227.93186143632664,90.975616,20736.241500196462
커피빈강동경희대병원앞점,코리아,강동구,서울특별시 강동구 동남로 885,집합,명일동,기타,753.0664792505218,227.80158486615093,139.60393399999998,31801.997418749528
통인길커피점,,종로구,서울특별시 종로구 자하문로 55,집합,통인동,기타,752.3035839523872,227.57081007695177,177.984272,40504.024959996525
서촌커피,,종로구,서울특별시 종로구 자하문로 55,집합,통인동,기타,752.3035839523872,227.57081007695177,102.97567,23434.25664011686
스시깡패연구소,,용산구,서울특별시 용산구 새창로 217,집합,한강로2가,기타,751.6002657307477,227.35805727229342,177.984272,40466.15830694345
매머드익스프레스신,용산점,용산구,서울특별시 용산구 새창로 217,집합,한강로2가,기타,751.6002657307477,227.35805727229342,102.97567,23412.348277512785
시그니처커피2,,중구,서울특별시 중구 퇴계로 286,집합,쌍림동,기타,750.5205044756812,227.0314309624542,139.60393399999998,31694.48090400801
달콤커피가락시장역점,,송파구,서울특별시 송파구 중대로 109,집합,가락동,기타,749.5949092930379,226.7514396796654,225.257212,51077.3971192276
설빙가락시장역점,,송파구,서울특별시 송파구 중대로 109,집합,가락동,기타,749.5949092930379,226.7514396796654,208.033994,47172.00764181087
스타벅스,공덕,마포구,서울특별시 마포구 마포대로 130,집합,공덕동,기타,748.6873201272921,226.47689519247749,226.84399600000003,51374.92390713479
향기내는사람들히즈빈스,명동점,중구,서울특별시 중구 명동길 73,집합,명동1가,기타,746.3054959211416,225.7563966123606,114.744318,25904.263763422827
코코커피,,중구,서울특별시 중구 명동길 73,집합,명동1가,기타,746.3054959211416,225.7563966123606,177.984272,40181.08790039427
일트,,종로구,서울특별시 종로구 율곡로 154,집합,원남동,기타,743.7324529936525,224.97805462933405,131.33943399999998,29548.49035743781
필리커피,,마포구,서울특별시 마포구 월드컵로25길 26,집합,망원동,기타,743.2593195658219,224.83493241146527,90.975616,20454.496474451418
코럴핑크,,서초구,서울특별시 서초구 서초대로73길 30,집합,서초동,기타,742.9174606832058,224.7315205648272,208.033994,46751.79580079414
맨시니스,,중랑구,서울특별시 중랑구 봉화산로 190,집합,신내동,기타,742.3837896390269,224.57008580041952,102.97567,23125.255047255683
메가위드,,서초구,서울특별시 서초구 효령로 321,집합,서초동,기타,741.541731634969,224.3153644004383,115.93440600000001,26005.868528438365
라이프트리LifeTree,,관악구,서울특별시 관악구 인헌6길 16,집합,봉천동,기타,740.1807732517403,223.9036763421079,226.84399600000003,50791.20466053443
디커피:DCOFFEE,,관악구,서울특별시 관악구 인헌6길 16,집합,봉천동,기타,740.1807732517403,223.9036763421079,123.273282,27601.341034557394
이디야,,강동구,서울특별시 강동구 상암로 210,집합,명일동,기타,739.9847959669846,223.8443934802422,115.107956,25766.270595570404
메가엠지씨커피종로5가역점,,종로구,서울특별시 종로구 종로 210,집합,종로5가,기타,739.8548439855042,223.8050831827407,114.744318,25680.36163473685
커피나인광장시장,,종로구,서울특별시 종로구 종로 210,집합,종로5가,기타,739.8548439855042,223.8050831827407,115.93440600000001,25946.709378571635
고망고광장,시장점,종로구,서울특별시 종로구 종로 210,집합,종로5가,기타,739.8548439855042,223.8050831827407,208.033994,46559.06533200778
에스터스명보아트홀점,,중구,서울특별시 중구 마른내로 47,집합,초동,기타,739.7656767621736,223.77811021906152,123.273282,27585.86208646145
애니원에프앤씨,,중구,서울특별시 중구 마른내로 47,집합,초동,기타,739.7656767621736,223.77811021906152,150.645306,33711.12189005225
카페헤쎄드,,송파구,서울특별시 송파구 중대로 68,집합,문정동,기타,739.671475495636,223.74961446416478,90.975616,20355.759005639902
스타벅스,올림픽훼미리,송파구,서울특별시 송파구 중대로 68,집합,문정동,기타,739.671475495636,223.74961446416478,90.975616,20355.759005639902
크로글커피,,도봉구,서울특별시 도봉구 도봉로152길 26,집합,방학동,기타,738.9276275065871,223.52460146003602,164.397434,36746.870915902575
스타카페,,강남구,서울특별시 강남구 학동로6길 19,집합,논현동,기타,738.574571630021,223.41780253796992,208.033994,46478.49779267722
커피빈현대자동차여의도점,코리아,영등포구,서울특별시 영등포구 국제금융로 20,집합,여의도동,기타,737.8359011112278,223.1943557115457,150.645306,33623.18201363865
커피애플블러썸,,영등포구,서울특별시 영등포구 국제금융로 20,집합,여의도동,기타,737.8359011112278,223.1943557115457,114.744318,25610.284127570718
커피빈방이점,코리아,송파구,서울특별시 송파구 오금로11길 7,집합,방이동,기타,737.159436643086,222.98972613076592,225.257212,50230.04401285988
인듀어런스커피,,강남구,서울특별시 강남구 봉은사로 474,집합,삼성동,기타,737.1281036978583,222.9802479574863,102.97567,22961.540430188285
카페유메,,강남구,서울특별시 강남구 학동로20길 13,집합,논현동,기타,735.5238356049929,222.49495904319465,115.93440600000001,25794.820914667103
미진카페,,양천구,서울특별시 양천구 신목로 53,집합,신정동,기타,733.5736625171993,221.90503433879826,140.33121,31140.20197385511
카페오아시스,,양천구,서울특별시 양천구 신목로 53,집합,신정동,기타,733.5736625171993,221.90503433879826,102.97567,22850.819587410755
주민카페휴,,은평구,서울특별시 은평구 연서로41길 18,집합,불광동,기타,732.7305513890914,221.64999437022547,148.794058,32980.202118023
린네스가든,,영등포구,서울특별시 영등포구 여의나루로 77-1,집합,여의도동,기타,731.943845966508,221.41201705079192,139.60393399999998,30909.988615165625
메가엠지씨커피압구정현대점,,강남구,서울특별시 강남구 압구정로 214,집합,신사동,기타,730.7491876001272,221.05063452118313,101.256654,22382.847616191895
컴포즈커피서,여의도점,영등포구,서울특별시 영등포구 국회대로70길 18,집합,여의도동,기타,730.5705418604996,220.9965944281262,148.794058,32882.980089141085
메가엠지씨커피청계천점,,중구,서울특별시 중구 청계천로 370,집합,황학동,기타,730.140460792743,220.86649549057506,226.84399600000003,50102.238419598034
하삼동커피마포,구청점,마포구,서울특별시 마포구 월드컵로 204,집합,성산동,기타,730.064907907887,220.84364084575202,150.645306,33269.057853362414
쥬씨&차얌구산역점,,은평구,서울특별시 은평구 연서로 137,집합,구산동,기타,729.6476234561114,220.7174128671158,136.463424,30119.85389626828
메가엠지씨커피구산역점,,은평구,서울특별시 은평구 연서로 137,집합,구산동,기타,729.6476234561114,220.7174128671158,139.60393399999998,30813.01913855158
빽다방구로디지털역점,,구로구,서울특별시 구로구 디지털로32길 79,집합,구로동,기타,729.466943572714,220.66275744833746,123.273282,27201.822325826502
판다커피&디저트,,강남구,서울특별시 강남구 도곡로 501,집합,대치동,기타,729.3129357761197,220.61617029950986,177.984272,39266.20846218629
매머드익스프레스대치학원가점,,강남구,서울특별시 강남구 도곡로 501,집합,대치동,기타,729.3129357761197,220.61617029950986,114.744318,25314.452000789115
파란만잔저동점,,중구,서울특별시 중구 수표로 31,집합,저동2가,기타,729.2374746513793,220.5933434119969,115.107956,25392.04886736103
더치앤빈중구저동점,,중구,서울특별시 중구 수표로 31,집합,저동2가,기타,729.2374746513793,220.5933434119969,150.645306,33231.351719863356
카페디엠,,마포구,서울특별시 마포구 서강로 110,집합,신수동,기타,729.2157646974085,220.58677618047327,225.257212,49688.76220648142
메가엠지씨커피송파파인타운점,,송파구,서울특별시 송파구 충민로2길 28,집합,장지동,기타,728.6765058599867,220.42365111621595,114.744318,25292.36151840014
쁘띠바또,,송파구,서울특별시 송파구 충민로2길 28,집합,장지동,기타,728.6765058599867,220.42365111621595,140.33121,30932.317673756435
이디야송파파인타운점,,송파구,서울특별시 송파구 충민로2길 28,집합,장지동,기타,728.6765058599867,220.42365111621595,139.60393399999998,30772.008842467232
뉴욕러브베이글강남,본점,강남구,서울특별시 강남구 봉은사로2길 31,집합,역삼동,기타,728.504062569143,220.3714872554731,145.984128,32170.739403053354
북아현마을북카페,,서대문구,서울특별시 서대문구 북아현로 24,집합,북아현동,기타,728.3251204461692,220.3173575068574,145.984128,32162.83731890283
스포애니불광역커피마마,,은평구,서울특별시 은평구 통일로 727-3,집합,대조동,기타,726.2448704159222,219.68808470443528,90.975616,19986.25883384618
위버커피,,관악구,서울특별시 관악구 관악로 195,집합,봉천동,기타,725.690891882027,219.5205069520319,145.984128,32046.509785510312
메가엠지씨커피,서울대입구역점,관악구,서울특별시 관악구 관악로 195,집합,봉천동,기타,725.690891882027,219.5205069520319,101.256654,22227.912018346487
매머드익스프레스관악,중앙점,관악구,서울특별시 관악구 관악로 195,집합,봉천동,기타,725.690891882027,219.5205069520319,114.744318,25188.73085722516
쏘시얼네트워크주,,관악구,서울특별시 관악구 관악로 195,집합,봉천동,기타,725.690891882027,219.5205069520319,174.083428,38214.88236650754
마음정원선엽차,,서대문구,서울특별시 서대문구 신촌로 63,집합,창천동,기타,725.3232740974692,219.4093030726206,145.984128,32030.275784144236
돼지와플앤마더죽강서점,,강서구,서울특별시 강서구 강서로56길 38,집합,등촌동,기타,725.0494766160087,219.32647970718395,114.744318,25166.467333341665
쎄리오,,강남구,서울특별시 강남구 선릉로131길 8,집합,논현동,기타,724.8080128988288,219.25343726142802,114.744318,25158.086127718347
스타벅스,사가정역,중랑구,서울특별시 중랑구 면목로 310,집합,면목동,기타,724.079784325561,219.0331491093112,177.984272,38984.4555880882
커피에비뉴,,마포구,서울특별시 마포구 독막로 331,집합,도화동,기타,723.9865711832382,219.0049522606444,145.984128,31971.246983451798
벤티프레소강남,대치점,강남구,서울특별시 강남구 역삼로 409,집합,대치동,기타,723.5464517944977,218.87181674466018,177.984272,38955.740964615754
노블레스스크린,골프연습장,노원구,서울특별시 노원구 노해로77길 22,집합,상계동,기타,722.830863837737,218.65535236182978,114.744318,25089.45928380785
비바쥬스,,동작구,서울특별시 동작구 노량진로 110,집합,노량진동,기타,721.3910829786737,218.21982061185602,150.645306,32873.79165133816
이디야커피노량진CTS점,,동작구,서울특별시 동작구 노량진로 110,집합,노량진동,기타,721.3910829786737,218.21982061185602,164.397434,35874.77855652944
빽다방노량진2동점,,동작구,서울특별시 동작구 노량진로 110,집합,노량진동,기타,721.3910829786737,218.21982061185602,164.397434,35874.77855652944
가며오며,,영등포구,서울특별시 영등포구 시흥대로 625,집합,대림동,기타,720.1779118166953,217.85283798677938,115.93440600000001,25256.639367411506
아트크루커피,,용산구,서울특별시 용산구 이태원로15길 1,집합,이태원동,기타,718.3865025107925,217.31093911028873,90.975616,19769.99654909701
카페베네논현역점,,강남구,서울특별시 강남구 강남대로 556,집합,논현동,기타,717.8288442346538,217.1422482408657,140.33121,30471.834437761056
봉스세상의커피,,영등포구,서울특별시 영등포구 시흥대로 671,집합,대림동,기타,717.7983581150564,217.13302623118653,164.397434,35696.11234906176
학산테라로사커피청계광,장지점,중구,서울특별시 중구 청계천로 8,집합,무교동,기타,717.0657897504634,216.91142529810134,90.975616,19733.650533932752
메가엠지씨커피북한산,아이파크점,도봉구,서울특별시 도봉구 도봉로136가길 4,집합,창동,기타,716.227152071217,216.6577385417197,101.256654,21938.037667941375
펠어커피초코,시청점,중구,서울특별시 중구 세종대로11길 27,집합,서소문동,기타,714.7681028599179,216.21637814142352,174.083428,37639.68829660327
콩쥬,,강북구,서울특별시 강북구 도봉로 313,집합,수유동,기타,714.5861032348657,216.16132350259113,148.794058,32163.520506601308
더벤티,개봉점,구로구,서울특별시 구로구 개봉로 63,집합,개봉동,기타,713.6249844273516,215.87058637163517,131.33943399999998,28352.320631298673
앨리스,,강남구,서울특별시 강남구 언주로 641,집합,논현동,기타,713.526578315115,215.84081865663833,174.083428,37574.30961407396
파란행복,,강남구,서울특별시 강남구 논현로85길 28,집합,역삼동,기타,713.4427812446686,215.81547015689654,174.083428,37569.89686034425
텐퍼센트스페셜티커피태릉역점,,노원구,서울특별시 노원구 동일로 1000,집합,공릉동,기타,713.2535022628699,215.7582135225573,114.744318,24757.029063544218
이일이공구,,강남구,서울특별시 강남구 언주로 709,집합,논현동,기타,712.8807420283289,215.6454540590262,140.33121,30261.78749910256
이노스,,영등포구,서울특별시 영등포구 국회대로72길 17,집합,여의도동,기타,712.5622426777018,215.5491084390168,174.083428,37523.52769940777
앙크인베스트먼트이디야커피서,여의도점,영등포구,서울특별시 영등포구 국회대로72길 17,집합,여의도동,기타,712.5622426777018,215.5491084390168,101.256654,21825.781493218004
메가엠지씨커피서,여의도점,영등포구,서울특별시 영등포구 국회대로72길 17,집합,여의도동,기타,712.5622426777018,215.5491084390168,115.93440600000001,24989.557850707002
쿠쿠스무스카페24,여의도점,영등포구,서울특별시 영등포구 국회대로72길 17,집합,여의도동,기타,712.5622426777018,215.5491084390168,114.744318,24733.03544334303
프롬투커피,,강동구,서울특별시 강동구 동남로71길 38,집합,명일동,기타,711.3822198050359,215.1921531263343,101.256654,21789.63739262825
요거프레소목동1,4단지점,양천구,서울특별시 양천구 목동동로8길 23,집합,신정동,기타,710.0893398809163,214.80105870921298,140.33121,30143.292477944895
메가엠지씨커피목동1,4단지점,양천구,서울특별시 양천구 목동동로8길 23,집합,신정동,기타,710.0893398809163,214.80105870921298,285.224424,61266.508244925455
마니달오군자점,,광진구,서울특별시 광진구 광나루로 361,집합,군자동,기타,709.9005153467066,214.7439395446508,148.794058,31952.622195755266
대상에프앤비서,초지점,서초구,서울특별시 서초구 방배로 174,집합,방배동,기타,709.4259410310424,214.60038146017374,145.984128,31328.24955593083
매머드익스프레스내방점,,서초구,서울특별시 서초구 방배로 174,집합,방배동,기타,709.4259410310424,214.60038146017374,226.84399600000003,48680.808073550135
스타벅스,상봉역,중랑구,서울특별시 중랑구 망우로 307,집합,상봉동,기타,709.3630049397786,214.58134337823785,149.785798,32141.237753821373
메가엠지씨커피강동,성내점,강동구,서울특별시 강동구 천호대로 1078,집합,성내동,기타,708.4408934814081,214.30240591729932,101.256654,21699.54456733553
비크리스,,영등포구,서울특별시 영등포구 영등포로 147,집합,당산동1가,기타,707.8802659028556,214.13281683793807,123.273282,26396.855115517486
레빗홀,,용산구,서울특별시 용산구 독서당로 73,집합,한남동,기타,707.0991727368329,213.89653721847446,114.744318,24543.41228569547
커피빈내방역7번출구유중아트점,코리아,서초구,서울특별시 서초구 방배로 178,집합,방배동,기타,706.8713079868145,213.82760844177338,164.397434,35152.71014618428
킷커피,,강남구,서울특별시 강남구 테헤란로 147,집합,역삼동,기타,706.6122683388463,213.74924930087914,164.397434,35139.82810449083
더카페신방,,성동구,서울특별시 성동구 무학로2길 52,집합,도선동,기타,706.1720093185504,213.61607154653953,208.033994,44439.40454641638
맥코이커피성수,,성동구,서울특별시 성동구 연무장15길 11,집합,성수동2가,기타,706.0214309221187,213.57052178659288,150.645306,32173.39660712095
스튜디오우디,,성동구,서울특별시 성동구 연무장15길 11,집합,성수동2가,기타,706.0214309221187,213.57052178659288,140.33121,29970.60974264394
레몬트리카페,,강남구,서울특별시 강남구 도산대로 156,집합,논현동,기타,705.4596106093238,213.40057190674688,177.984272,37981.945435206
공차중계은행,사거리점,노원구,서울특별시 노원구 한글비석로 245,집합,중계동,기타,705.0813811510067,213.28615801046845,174.083428,37129.585531412005
라트,,노원구,서울특별시 노원구 한글비석로 245,집합,중계동,기타,705.0813811510067,213.28615801046845,150.645306,32130.558539051373
템포커피,중계점,노원구,서울특별시 노원구 한글비석로 245,집합,중계동,기타,705.0813811510067,213.28615801046845,164.397434,35063.69708463956
컴포즈커피길동,중앙점,강동구,서울특별시 강동구 양재대로 1465,집합,길동,기타,704.9123258170902,213.23501900208427,164.397434,35055.28996288389
메가엠지씨커피길동역점,,강동구,서울특별시 강동구 양재대로 1465,집합,길동,기타,704.9123258170902,213.23501900208427,115.93440600000001,24721.275266405355
공차길동역점,,강동구,서울특별시 강동구 양재대로 1465,집합,길동,기타,704.9123258170902,213.23501900208427,177.984272,37952.47962199213
학산테라로사커피길동지점,,강동구,서울특별시 강동구 천호대로 1221,집합,길동,기타,704.5520150458717,213.1260254842615,101.256654,21580.42822085505
설빙노원역점,,노원구,서울특별시 노원구 상계로 65,집합,상계동,기타,704.4755065096521,213.10288175620184,115.93440600000001,24705.9560132935
바나프레소대치은마,사거리점,강남구,서울특별시 강남구 삼성로 238,집합,대치동,기타,704.3952414342389,213.0786016801497,150.645306,32099.291152158265
메타킹대치은마,사거리점,강남구,서울특별시 강남구 삼성로 238,집합,대치동,기타,704.3952414342389,213.0786016801497,115.107956,24527.042306740197
커피붕붕커피볶는집,,종로구,서울특별시 종로구 새문안로5길 13,집합,당주동,기타,699.0127061597935,211.45039208657315,115.93440600000001,24514.37560502396
모란커피,,종로구,서울특별시 종로구 새문안로5길 13,집합,당주동,기타,699.0127061597935,211.45039208657315,177.984272,37634.844099643284
브라운씨,,강서구,서울특별시 강서구 강서로47가길 33,집합,내발산동,기타,698.8116080440694,211.38956018031018,164.397434,34751.90126803157
스타벅스,당산역사거리,영등포구,서울특별시 영등포구 양평로 47,집합,당산동5가,기타,698.6996035318161,211.35567896781902,101.256654,21401.168856179527
티,데일리,강남구,서울특별시 강남구 강남대로 320,집합,역삼동,기타,698.229788943146,211.21356069427853,208.033994,43939.60061819218
더메리어,,강남구,서울특별시 강남구 테헤란로 123,집합,역삼동,기타,698.1488494433958,211.18907660578247,225.257212,47571.862601072986
오쏘,,강남구,서울특별시 강남구 논현로 805,집합,신사동,기타,697.5021621973182,210.99345459414306,139.60393399999998,29455.516309592742
투썸플레이스동,여의도점,영등포구,서울특별시 영등포구 국제금융로2길 7,집합,여의도동,기타,697.1110270502629,210.87513674458918,164.397434,34667.33137520958
코어리서치,,영등포구,서울특별시 영등포구 국제금융로2길 7,집합,여의도동,기타,697.1110270502629,210.87513674458918,145.984128,30784.422954539612
