상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
공차강변테크노마트,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,115.107956,429196.45352771715
카페리치,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,123.273282,459642.0376808895
파스쿠찌강변테크노마트점,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,102.97567,383959.4924580238
할리스커피테크노마트점,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,136.463424,508823.3659283218
토마토,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,123.273282,459642.0376808895
쎄리오,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,225.257212,839903.6859097831
커피빈강변테크노마트점,코리아,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,101.256654,377549.89579419803
이러리오빠,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,115.93440600000001,432277.99038532574
켈리토스트카페,용산점,용산구,서울특별시 용산구 새창로 181,집합,한강로2가,기타,12300.715333384369,3720.9496440753733,174.083428,647755.6694560208
거리에서,,용산구,서울특별시 용산구 새창로 181,집합,한강로2가,기타,12300.715333384369,3720.9496440753733,225.257212,838170.742816811
선인장커피,,용산구,서울특별시 용산구 새창로 181,집합,한강로2가,기타,12300.715333384369,3720.9496440753733,285.224424,1061305.7189644033
요거'sCafe,,용산구,서울특별시 용산구 새창로 181,집합,한강로2가,기타,12300.715333384369,3720.9496440753733,148.794058,553655.1971556304
쥬피토,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,150.645306,530804.905306206
공차신도림테크노마트,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,131.33943399999998,462779.87465033046
탐앤탐스신도림,테크노점,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,148.794058,524281.95716112206
델리아띠,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,123.273282,434358.45773246477
드롭탑삼성카드고객서비스점,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,101.256654,356781.96729271644
이디야커피신도림테크노마트점,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,208.033994,733016.2978038082
로드씨앤디,,구로구,서울특별시 구로구 새말로 97,집합,구로동,기타,11648.1216876499,3523.5409545797993,101.256654,356781.96729271644
