geometry
POINT (947444.288893 1952210.364775)
POINT (945929.221214 1952575.631371)
POINT (957704.970003 1947112.303134)
POINT (950597.539765 1944693.170773)
POINT (965751.925256 1946314.626685)
POINT (942408.497385 1950149.616066)
POINT (960738.128931 1946854.979713)
POINT (948461.08722 1946170.08758)
POINT (949113.498817 1956681.43884)
POINT (956828.999415 1956898.176709)
POINT (954453.641733 1942651.42875)
POINT (957636.153437 1947068.882099)
POINT (943202.240079 1944950.433091)
POINT (959614.20434 1959605.649879)
POINT (959461.800616 1947317.58219)
POINT (965467.893271 1945704.588358)
POINT (954995.506056 1942151.853486)
POINT (955503.549947 1943037.705298)
POINT (958256.620347 1957537.096398)
POINT (963022.34976 1952451.751602)
POINT (960103.653071 1946003.170286)
POINT (959601.505941 1965501.110306)
POINT (950152.281987 1945285.470964)
POINT (959701.515416 1945155.677594)
POINT (949902.820322 1942315.70336)
POINT (957872.081382 1958869.232953)
POINT (957460.203848 1946380.467973)
POINT (950262.477451 1940895.166028)
POINT (961755.799442 1950324.194448)
POINT (958866.747537 1944121.956476)
POINT (957919.146479 1961279.292014)
POINT (945396.03913 1943135.204822)
POINT (962582.47386 1957929.332947)
POINT (967603.45547 1945046.535665)
POINT (967275.2645 1948335.577916)
POINT (961789.235576 1954755.867558)
POINT (949103.956594 1943325.056722)
POINT (961241.677493 1944988.834391)
POINT (965011.761111 1945288.750761)
POINT (945659.709313 1944291.374823)
POINT (959548.044203 1945978.272273)
POINT (958601.304254 1958866.399027)
POINT (959423.394094 1945423.468088)
POINT (947049.105061 1940542.526081)
POINT (945800.225247 1945118.099299)
POINT (956901.68523 1956036.741631)
POINT (960747.5992 1946867.090513)
POINT (958111.209113 1960574.007201)
POINT (958085.834098 1946239.18855)
POINT (955472.598007 1942944.563719)
POINT (958935.029378 1952124.554731)
POINT (960420.614278 1945159.070679)
POINT (957110.81852 1956752.421974)
POINT (959541.367932 1956936.059129)
POINT (958966.390357 1952529.642002)
POINT (948179.722025 1949569.303634)
POINT (963455.113921 1950995.658148)
POINT (955768.365832 1957563.655197)
POINT (950903.685975 1952451.918846)
POINT (958456.154248 1954084.222765)
POINT (944072.244384 1949306.912131)
POINT (959518.524877 1963349.507127)
POINT (950379.430529 1941261.705287)
POINT (956082.012384 1957488.906583)
POINT (956441.546947 1942770.436181)
POINT (948323.256509 1942975.953147)
POINT (956911.935549 1962525.158957)
POINT (964923.718724 1955552.332733)
POINT (964939.502129 1954700.972539)
POINT (947754.735046 1942246.900769)
POINT (962066.0158 1954498.123809)
POINT (948642.33226 1957933.777457)
POINT (954990.234723 1943623.897647)
POINT (952828.732291 1947071.952391)
POINT (948809.832945 1957557.573939)
POINT (957778.728802 1952813.884003)
POINT (954859.463561 1944124.235692)
POINT (956844.070685 1943120.300348)
POINT (954480.374223 1943975.268953)
POINT (958129.883009 1947096.293217)
POINT (960640.076525 1944294.852718)
POINT (954457.625933 1942422.152242)
POINT (955541.594556 1943235.690567)
