TRDAR_CD,TRDAR_CD_N,카페_점포_수
3111010,석촌역 7번,19
3111011,잠실나루역,10
3111012,석촌역 6번,16
3111013,송파나루역 1번(송리단길),58
3111014,송파나루역 2번,3
3111015,석촌역 3번,24
3111016,송파역 2번,7
3111017,송파나루역 3번,3
3111018,풍납초등학교(풍납백제문화공원),3
3111019,한성백제역 3번,11
3111020,방이동고분군(방산고등학교),9
3111021,방이역 4번,25
3111022,석촌중학교(방이육교),2
3111023,문정역 1번,10
3111024,경찰병원역 4번(건너말공원),5
3111025,경찰병원역 3번,6
3111026,문정역 2번,13
3111027,문정초등학교,11
3111028,문현중학교(장지역 1번),10
3111029,오금역 4번,2
3111030,방이역 2번,9
3111031,장지동주민센터(한림연예예술고교),10
3111032,방이역 1번,6
3111033,문정동성당,3
3111034,오동나무공원(송파레미니스1단지),5
3111035,오금공원(오주중학교),8
3111036,투구봉어린이공원,3
3111037,Sh수협은행 오금동금융센터(아랫말어린이공원),2
3111038,보인중학교,9
3111039,벌말어린이공원,10
3111040,거여초등학교,3
3111042,거여역 1번(거여공원),8
3111044,남천초등학교,9
3111045,개미어린이공원,1
3111046,마천역(마천초등학교),9
3111047,마천1치안센터,3
3111048,천호역 1번(천호문구완구거리),6
3111049,천호지구대(천호동자전거거리),4
3111050,강동구청(강동구청역 2번),6
3111051,천호역 6번,16
3111052,암사역 3번(천호동자전거거리),18
3111053,성내천어린이공원(하니사랑길),14
3111054,암사역 4번(삼성광나루아파트),1
3111055,선사초등학교,1
3111056,천호태영아파트,2
3111057,천호공원(해공체육문화센터),6
3111058,성내중학교,4
3111059,강동역 4번(강풀만화거리),29
3111060,암사역 2번(서울강동초등학교),15
3111061,암사역 1번,14
3111062,둔촌동역 3번(성내3동주민센터),13
3111063,강동구립 천호도서관,5
3111064,둔촌동역 4번,5
3111065,천일초등학교,1
3111066,암사동성당(효정하나플러스아파트),9
3111067,강동구립성내도서관,10
3111068,강동성심병원,2
3111069,천호1동주민센터,5
3111070,천호초등학교,1
3111071,천동초등학교,3
3111072,굽은다리역 1번(십자성마을),9
3111073,둔촌동역 1번(한산중학교),14
3111074,명일역 1번,4
3111075,굽은다리역 2번,2
3111076,둔촌2동주민센터,6
3111077,길동주민센터(강동도서관),17
3111078,굽은다리역 4번,14
3111079,둔촌고등학교(둔촌중학교),3
3111080,굽은다리역 3번,22
3111082,중앙보훈병원,1
3111083,GS강동자이아파트,7
3111084,길동신동아아파트,1
3111085,묘곡초등학교(고덕아이파크아파트),13
3111086,한영중고,12
3111087,고덕중학교(고덕2동주민센터),3
3111088,고덕동성당,7
3111089,상일여고(상일초등학교),23
3111090,강일동주민센터,7
3120001,서대문역,28
3120002,서촌(경복궁역),61
3120003,광화문역,114
3120004,종로구청,21
3120005,삼청동,52
3120006,종각역,106
3120007,북촌(안국역),61
3120008,인사동,64
3120009,종로3가역,124
3120010,원남동사거리,14
3120011,종로4가,18
3120012,대학로(혜화역),118
3120013,이화사거리,16
3120014,종로5가역,32
3120015,종로6가,14
3120016,동대문역,9
3120017,동묘앞역(동묘),7
3120018,중림동,24
3120019,경찰청앞교차로,16
3120020,시청역_1번,18
3120021,시청역_8번,36
3120022,북창동(시청역_6번),25
3120023,서울시청,20
3120024,회현역,16
3120025,롯데백화점(시청광장 지하쇼핑센터),8
3120026,을지로입구역,71
3120027,명동역(명동재미로),31
3120028,명동(명동거리),82
3120029,을지로2가,7
3120030,중부경찰서(영화인의거리),34
3120031,을지로3가역,70
3120032,충무로역,65
3120033,을지로4가역,17
3120034,중구청(퇴계로4가),10
3120035,퇴계로5가,6
3120036,장충동족발거리(남소영길),7
3120037,동대문역사문화공원역,54
3120038,약수역,23
3120039,신당역,30
3120040,용산전자상가(용산역),26
3120041,신용산역(용산역),102
3120042,"숙대입구역(남영역, 남영동)",11
3120043,서울역,55
3120044,삼각지역,29
3120045,남영동 먹자골목,19
3120046,이태원(이태원역),66
3120047,한남오거리,22
3120048,금호역,7
3120049,왕십리역(왕십리),42
3120050,서울숲역,10
3120051,뚝섬역,60
3120052,성수역,62
3120053,건대입구역(건대),106
3120054,어린이대공원역,35
3120055,군자역,50
3120056,구의역,27
3120057,아차산역,21
3120058,구의사거리,10
3120059,구삼강변맛길,13
3120060,강변역(테크노마트),15
3120061,올림픽대교북단,5
3120062,신설동역,36
3120063,청량리역(청량리),21
3120064,경희대학교(경희대),32
3120065,회기역,19
3120066,장한평역(장한평),42
3120067,장안동사거리,32
3120068,사가정역,14
3120069,상봉역,33
3120070,한성대입구역,17
3120071,성북구청,15
3120072,성신여대,97
3120073,미아사거리,14
3120074,안암역,16
3120075,월곡역,24
3120076,수유역,72
3120077,미아역,23
3120078,미아사거리역,14
3120079,창동역,17
3120080,마들역,4
3120081,노원역,81
3120082,상계백병원,6
3120083,등나무근린공원,19
3120084,공릉역,15
3120085,은행사거리,29
3120086,태릉입구역,19
3120087,응암역,8
3120088,구산역,11
3120089,구파발역,16
3120090,연신내역,20
3120091,본서부병원,19
3120092,불광역,9
3120093,연희동,44
3120094,"신촌역(신촌역, 신촌로터리)",115
3120095,홍제역,13
3120096,"이화여대(이대역, 이대)",46
3120097,충정로역,12
3120098,DMC(디지털미디어시티),97
3120099,월드컵경기장역(월드컵경기장),7
3120100,망원역,22
3120101,합정역,64
3120102,서교동(홍대),68
3120103,홍대입구역(홍대),209
3120104,연남동(홍대),182
3120105,상수역(홍대),57
3120106,마포역,32
3120107,공덕역(공덕오거리),40
3120108,신정네거리역,24
3120109,서울남부지방법원,21
3120110,목동역 8번출구,25
3120111,목동사거리,16
3120112,등촌역,25
3120113,오목교역,27
3120114,목동신시가지,65
3120115,김포공항역(김포공항),6
3120116,송정역,6
3120117,강서농산물도매시장,3
3120118,마곡역(마곡),68
3120119,발산역(마곡),138
3120120,화곡역,25
3120121,까치산역,20
3120122,강서구청,30
3120123,오류동역,14
3120124,개봉동 현대아파트,18
3120125,구로역,34
3120126,디지털단지오거리,1
3120127,구로구청,17
3120128,신도림역,36
3120129,구로디지털단지,121
3120130,구로디지털단지역,23
3120131,가산디지털단지,280
3120132,독산동,32
3120133,서울시흥동우체국(홈플러스시흥점),9
3120134,구로전화국,21
3120135,양평역,5
3120136,영등포구청역,59
3120137,문래역(문래로데오거리),5
3120138,당산2동(영등포우체국),20
3120139,대림3동사거리,17
3120140,문래동주민센터,24
3120141,영등포청과시장교차로,23
3120142,대림역,22
3120143,당산역,26
3120144,영중로,10
3120145,영등포역(영등포),50
3120146,한강성심병원,14
3120147,보라매역,13
3120148,국회의사당역(국회의사당),99
3120149,여의도역(여의도),172
3120150,63빌딩,11
3120151,보라매공원,39
3120152,신대방삼거리역,19
3120153,노량진역(노량진),59
3120154,장승배기역,12
3120155,총신대학교,5
3120156,"총신대입구역(이수, 총신대)",50
3120157,신림역(신림),41
3120158,녹두거리(대학동),28
3120159,서울대입구역,48
3120160,사당역(사당),42
3120161,방배동가구거리(사당동가구거리),4
3120162,방배동카페골목,17
3120163,사당역 11번(사당역먹자골목),6
3120164,내방역,42
3120165,서래마을카페거리(서래마을),17
3120166,방배역,36
3120167,고속터미널(고속터미널역),44
3120168,서울고교교차로,9
3120169,서초역,54
3120170,삼호가든사거리,12
3120171,서초3동사거리,31
3120172,교대입구교차로,32
3120173,교대역(법원.검찰청),88
3120174,논현역 5번,3
3120175,남부터미널역,45
3120176,논현역 4번,15
3120177,신논현역 1번,20
3120178,신사역,64
3120179,양재역,70
3120180,양재화물트럭터미널앞,14
3120181,교육개발원입구사거리,16
3120182,"양재시민의숲역(양재동꽃시장, aT센터)",22
3120183,양재천카페거리,15
3120184,포이사거리(삼호물산),47
3120185,논현역,59
3120186,가로수길,80
3120187,신논현역,90
3120188,압구정역,55
3120189,강남역,172
3120190,강남을지병원,43
3120191,학동역,48
3120192,뱅뱅사거리,64
3120193,도산공원교차로,18
3120194,언주역(차병원),45
3120195,성수대교남단,26
3120196,서울세관,17
3120197,역삼역,143
3120198,구역삼세무서,56
3120199,경복아파트교차로,19
3120200,학동사거리,35
3120201,도곡1동,19
3120202,압구정로데오역(압구정로데오),52
3120203,강남구청역,48
3120204,르네상스호텔사거리,37
3120205,매봉역,24
3120206,개나리아파트,23
3120207,선정릉역,51
3120208,청담사거리(청담동명품거리),42
3120209,"강남구청(청담역_8번, 강남세무서)",16
3120210,선릉역,91
3120211,도성초등학교,12
3120212,한티역,26
3120213,삼성중앙역,45
3120214,영동대교남단교차로,9
3120215,포스코사거리,87
3120216,경기고교사거리(경기고교앞사거리),5
3120217,대치사거리,21
3120218,코엑스,21
3120219,은마아파트,31
3120220,대치역,16
3120221,봉은사역,28
3120222,삼성역,63
3120223,휘문고교사거리,9
3120224,수서역,30
3120225,잠실새내역(신천),64
3120226,석촌고분역,21
3120227,잠실역,67
3120228,석촌역(석촌호수),41
3120229,방이동먹자골목,18
3120230,송파사거리(송파역),15
3120231,가락시장,8
3120232,송파나루역,12
3120233,몽촌토성역,25
3120234,가락시장역,30
3120235,문정역,150
3120236,장지역(가든파이브),43
3120237,경찰병원역,31
3120238,방이역,18
3120239,오금역,29
3120240,개롱역,17
3120241,거여역,13
3120242,강동구청역,40
3120243,천호역,37
3120244,암사역,14
3120245,둔촌역,22
3120246,길동역,24
3120247,굽은다리역,12
3120248,명일역,25
3120249,고덕역,21
3130001,통인시장,13
3130002,세종마을음식문화거리(금천교시장),12
3130004,낙원시장(낙원지하시장(대일상가)),1
3130007,광장시장(광장전통시장),10
3130009,마전교지하쇼핑센터(구 한일상가),1
3130010,종로신진시장,11
3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",12
3130013,동대문상가A동,2
3130015,창신골목시장,3
3130016,동대문상가B동,1
3130018,동대문문구완구거리(동대문문구완구시장),5
3130020,동묘시장(동묘벼룩시장),4
3130024,남대문시장(자유상가),38
3130025,삼익패션타운(남대문시장),2
3130031,청계천공구상가,1
3130032,인현시장,7
3130033,대림상가(청계상가),12
3130034,필동 골목형상점가,1
3130035,방산종합시장(방산시장),15
3130036,중부시장(신중부시장),10
3130038,"평화시장(통일상가, 동화상가)",20
3130042,약수시장,8
3130046,team204(팀204),2
3130047,테크노상가(엘리시움),1
3130048,동평화시장,6
3130049,신당 미래유산 먹거리 골목형상점가,2
3130050,청평화시장,3
3130051,동화동 골목형상점가,8
3130052,서울중앙시장(신중앙시장),5
3130053,백학시장,4
3130054,황학동주방가구거리상점가,2
3130055,"황학시장(서울중앙시장, 신중앙시장)",4
3130056,용산용문시장,8
3130057,만리시장,1
3130058,이촌종합시장,4
3130059,후암시장,4
3130060,신흥시장,12
3130061,이태원시장,2
3130062,보광시장,1
3130063,신금호역 골목형상점가,4
3130064,금남시장,1
3130065,무학봉상점가,13
3130066,행당시장상점가,9
3130067,왕십리도선동상점가,14
3130068,마장축산물시장,3
3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",14
3130070,뚝섬역상점가,23
3130071,성수역 골목형상점가,1
3130072,성동용답상가시장,14
3130073,뚝도시장,4
3130076,능동로골목시장,1
3130078,화양제일골목시장,2
3130079,한아름시장,1
3130081,자양골목전통시장(자양골목시장),2
3130083,"중곡제일시장(중곡제일골목시장, 광성시장)",5
3130084,신성시장(신성골목시장),1
3130086,서울약령시장,9
3130088,경동시장,2
3130090,청량리종합시장,1
3130091,청량종합도매시장,3
3130092,청량리농수산물시장,1
3130094,청량리청과물시장,7
3130095,청량리전통시장,5
3130097,답십리 건축자재시장,2
3130098,회기시장,11
3130099,전농로터리시장,4
3130100,답십리시장,3
3130101,답십리현대시장,1
3130103,이경시장,1
3130104,전곡시장,2
3130105,장미제일시장(중화동제일시장),3
3130106,중랑동부시장,10
3130107,중랑동부시장(중랑교종합상가),1
3130109,묵1동도깨비시장,4
3130110,면목골목시장(면목시장),3
3130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",6
3130112,사가정시장,8
3130113,신아타운,6
3130114,유영시장,1
3130115,우림골목시장,6
3130117,정릉시장,7
3130118,정릉골 골목형상점가,2
3130119,정릉아리랑시장,2
3130120,돈암시장(돈암제일시장),4
3130122,밤나무골시장,1
3130123,꿈의숲 장곡 골목형상점가,2
3130125,장위전통시장,1
3130127,석관시장,1
3130128,돌곶이시장(석관황금시장),1
3130129,장미원골목시장,1
3130132,삼양골목시장(삼양시장),5
3130133,우이골목시장(우이시장),1
3130134,"솔샘시장(미아6,7동골목시장)",1
3130135,수유중앙골목시장(수유중앙시장),2
3130136,수유재래시장,2
3130137,"수유전통시장(수유시장, 수유골목시장)",6
3130138,수유프라자,2
3130139,강북종합전통시장(강북종합골목시장),6
3130140,숭인시장,3
3130141,강북북부골목시장,1
3130143,방천골목시장,3
3130145,쌍문역둘리상점가,2
3130146,쌍문시장(쌍문역골목시장),11
3130147,쌍문역동측상점가,7
3130148,방학동도깨비시장,8
3130149,창동신창시장,7
3130150,창동골목시장,5
3130151,신도봉시장,2
3130152,오!도봉거리 상점가,2
3130153,창동역상점가,8
3130154,상계주공1단지(가)상가,1
3130155,시영B상가(중계 그린아파트 B 상가),4
3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),1
3130157,상계중앙시장,8
3130158,상계역전종합상가,3
3130159,공릉동 도깨비시장,14
3130160,수일시장,1
3130163,응암오거리상점가,8
3130165,"대림골목시장(대림시장, 양지시장)",2
3130166,응암시장(신응암시장),2
3130167,연신내상점가(연빛거리),27
3130168,연서시장,1
3130169,대조시장,6
3130170,제일시장,12
3130171,불광먹자골목 골목형상점가,7
3130172,모래내시장(서중시장),1
3130173,백련시장,1
3130174,연희사러가,1
3130175,신촌 상인회(신촌상점가),4
3130176,유진상가,2
3130177,인왕시장(홍제골목형상점가),2
3130178,이대 앞 스타트업 상점가,8
3130179,"이화여대 3,5,7길 상점가",39
3130180,포방터시장,2
3130181,아현가구거리상점가,3
3130182,영천시장,2
3130183,상암동상점가,47
3130184,마포농수산물시장,2
3130185,망원월드컵시장,7
3130186,망원시장,10
3130187,영진시장,1
3130189,서교시장,1
3130190,홍대소상공인상점가,23
3130191,홍대 걷고싶은 거리,46
3130192,동진시장,4
3130194,용강동 상점가,6
3130195,도화동 상점가,28
3130196,공덕시장,3
3130197,마포시장,1
3130198,아현시장,4
3130201,월정로시장,2
3130202,신영시장,4
3130203,서서울 골목형상점가,2
3130204,경창시장,4
3130205,신곡종합시장(신월6동 골목시장),3
3130206,신정3동 골목시장,1
3130208,목동깨비시장(목3동시장),6
3130209,목사랑시장(목4동시장),3
3130210,목2동시장,7
3130211,신정2동 골목시장(오목교중앙시장),1
3130214,송화벽화시장(송화골목시장),6
3130216,화곡중앙시장,7
3130217,화곡본동시장,1
3130218,신월중앙시장,1
3130219,까치산시장,7
3130221,"남부골목시장(남부화곡시장, 남부시장)",12
3130222,오류시장,2
3130225,개봉중앙시장,9
3130227,고척골목시장상점가(그라운드 고척),3
3130228,구로시장,4
3130229,남구로시장,3
3130231,독산동 우시장,3
3130232,독산동 맛나는거리상점가(독산동 맛나는거리),3
3130233,남문시장,1
3130235,대명여울빛거리시장(대명시장),8
3130236,비단길현대시장(현대시장),7
3130238,은행나무시장,3
3130240,영등포유통상가,6
3130241,선유도역 골목형상점가,11
3130242,대림중앙 골목형상점가,1
3130243,도림시장,2
3130244,대림중앙시장,2
3130245,영일시장,1
3130246,영등포청과시장(조광시장),8
3130248,영등포역지하도상점가,11
3130250,삼구시장(로타리상가),2
3130255,영등포전통시장,1
3130257,영등포시장기계공구상가,4
3130258,영진시장A동,2
3130260,신대방1동골목상권,4
3130261,성대전통시장(성대시장),11
3130262,상도도깨비 골목형상점가,2
3130264,상도약수골목형상점가,3
3130265,노량진중앙시장,5
3130266,만양로상점가,1
3130268,상도전통시장,6
3130269,강남시장(동작구 강남시장),1
3130271,남성역골목시장,2
3130272,사당시장,1
3130273,남성사계시장(남성시장),9
3130274,사당1동먹자골목상점가(사당1동먹자골목),9
3130275,강남골목시장,3
3130277,조원동 펭귄시장(신림중앙시장),3
3130278,미성동 도깨비시장 골목형상점가,5
3130279,관악신사시장,4
3130282,난곡 골목형상점가,1
3130283,신원시장,2
3130284,관악종합시장(신원시장),1
3130285,서원동상점가,23
3130288,신림현대종합상가,1
3130290,영림시장,12
3130291,봉천제일종합시장,1
3130293,봉천중앙시장,3
3130294,관악중부시장,6
3130295,인헌시장(원당종합시장),10
3130301,양재시장,1
3130302,강남시장(강남구 강남시장),1
3130303,영동전통시장,8
3130306,강남언주로,8
3130307,도곡시장,2
3130308,청담삼익시장,2
3130310,강남개포시장,9
3130311,새마을시장,14
3130312,석촌시장,9
3130313,방이시장,12
3130314,풍납시장,4
3130315,문정동 로데오거리 상점가(문정동 로데오거리),13
3130317,마천중앙시장,2
3130318,로데오거리상점가,17
3130320,암사종합시장,3
3130321,장신구 특화거리 상점가,6
3130322,고분다리전통시장,4
3130323,둔촌역전통시장,2
3130324,길동복조리시장,3
3130325,명일전통시장,2
3130326,고덕 골목형상점가,6
3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",5
