TRDAR_CD,TRDAR_CD_N,카페_점포_수
3110773,당산역 13번,1
3110774,당산반도유보라팰리스아파트,9
3110776,도신초등학교,4
3110778,구로디지털단지역 4번,10
3110779,대림갑을명가아파트,1
3110780,신길대성유니드아파트,1
3110781,대림한신아파트,3
3110782,영등포시장역 4번,3
3110783,영등포시장역 1번,8
3110785,영등포푸르지오아파트,7
3110786,당산역 8번,2
3110787,신길3동주민센터,3
3110788,영등포시장역 3번,1
3110789,대림성모병원,6
3110790,대림1동주민센터,2
3110791,신풍역 3번,2
3110792,영등포역 2번,2
3110793,대림썬프라자,2
3110794,영동초등학교,7
3110795,도림초등학교,1
3110796,한림대학교한강성심병원,2
3110797,KT대방빌딩,2
3110798,신풍역 2번,2
3110799,영등포본동주민센터,1
3110800,영등포동성당,1
3110801,신풍역 6번(신길6동공영주차장),1
3110802,신길동홍어거리,1
3110803,신길2동우편취급국,1
3110804,신풍역 1번,6
3110805,신길새마을금고신길4동지점,3
3110807,신길역 3번,4
3110808,신길역 1번,1
3110809,장훈고등학교,2
3110810,영신초등학교,8
3110811,보라매역 4번,2
3110812,신길6동주민센터,7
3110813,보라매역 6번,10
3110814,서울지방병무청,6
3110815,공군호텔,7
3110816,대방역 6번,2
3110817,대방역 4번,2
3110818,신대방역 3번,1
3110819,신대방역 4번,10
3110820,성남고등학교,8
3110821,보라매역 2번,9
3110822,신대방삼거리역 4번(대림초등학교),1
3110823,신대방삼거리역 3번,5
3110824,대방역 3번,9
3110825,신대방삼거리역 1번,8
3110826,장승배기역 4번,15
3110827,NH농협은행 상도동지점,4
3110828,노량진역 6번,10
3110830,상도초등학교,9
3110831,상도4동주민센터,5
3110832,노량진초등학교,4
3110833,상도역 2번,5
3110834,동작구자원봉사센터,2
3110835,상도역 1번,3
3110836,상도역 5번,27
3110837,숭실대입구역 1번,11
3110838,상도1동주민센터앞,4
3110839,숭실대입구역 4번,11
3110840,중앙대학교,16
3110841,중대부중,1
3110842,흑리단길,8
3110843,사당5동주민센터,4
3110846,남성역 1번,18
3110847,예술인마을,1
3110848,양지어린이공원,7
3110849,이수역 10번,7
3110850,사당역 10번,25
3110851,경문고등학교(동작동성당),4
3110852,이수역 9번,8
3110853,KT구로지사,4
3110854,조원동주민센터,2
3110855,신대방역 2번,18
3110856,미성초등학교,7
3110857,미성동주민센터,3
3110858,신대방역 1번,8
3110859,난향초등학교,2
3110860,호림박물관(성보고등학교),5
3110861,관악구신사동주민센터,9
3110862,난곡초등학교(난곡동벽화마을),2
3110863,난우초등학교,6
3110864,신림우방아파트,1
3110865,남강고등학교(남강중학교),3
3110866,난우중학교,4
3110867,국제신학대학원대학교(남서울중학교),8
3110868,남부초등학교,10
3110869,"신림역 5번(신림동주민센터, 신림동별빛거리)",25
3110871,신원동주민센터,7
3110872,신림초등학교,3
3110873,당곡중학교,12
3110874,원신초등학교(구세군관악영문교회),3
3110875,보라매동주민센터(당곡고등학교),2
3110876,서원동주민센터(신관중학교),3
3110877,신림역 8번,12
3110878,미림여고,1
3110879,신림현대아파트,4
3110880,신림역 1번,2
3110881,구립대학경로당(관악산샘말공원),24
3110882,신성초등학교,8
3110883,은천초등학교(은천교앞),7
3110884,봉천역 4번(봉천110안전센터),2
3110885,영락고등학교,9
3110886,관악해태어린이공원,7
3110887,서울산업정보학교(서울삼성초등학교),1
3110888,청룡동주민센터,10
3110889,봉천역 6번,2
3110890,봉천역 1번(관악초등학교),5
3110891,구암초등학교,9
3110892,관악구 중앙길,19
3110893,관악소방서(문영여고),3
3110894,관악동부센트레빌아파트(은천로35라길),1
3110895,샤로수길,41
3110896,관악우성아파트,3
3110897,서울대입구역 8번,11
3110898,청림동주민센터(상도중학교),2
3110899,낙성대역 5번(관악중학교),2
3110900,낙성대역 1번(관악구민 종합체육센터),8
3110901,인헌고등학교(인헌중학교),6
3110902,사당역 4번,15
3110903,방배아이파크아파트,7
3110904,이수역 5번,8
3110905,방배노인종합복지관(이수중학교),5
3110906,서문여고,1
3110907,방배초등학교,12
3110908,구반포역,8
3110909,남태령역(서울전자고등학교),2
3110910,내방역 5번,1
3110912,방배동사이길,8
3110913,방현초등학교(방배119안전센터),6
3110914,내방역 6번,1
3110915,서래초등학교,4
3110916,내방역 4번,5
3110917,서초소방서,1
3110918,방배역 3번,5
3110919,내방역 8번,2
3110920,방배역 2번(백석예술대학교),1
3110921,서울프랑스학교,6
3110922,내방역 1번,3
3110924,반포4동주민센터(몽마르뜨공원),2
3110925,서초중학교,3
3110926,신중초등학교,6
3110927,잠원역,1
3110928,서초우방유쉘아파트,2
3110929,남부터미널역 1번,6
3110930,서초동성당,3
3110931,삼성전자서울R&D(서울우면초등학교),12
3110932,서울시인재개발원,1
3110934,우면주공아파트,11
3110935,한전아트센터,3
3110936,더케이호텔(양재리본타워2단지아파트),7
3110937,방아다리근린공원(횃불트리니티신학대학원대학교),3
3110938,바우뫼공원,9
3110939,양재역 8번(양재동우체국),19
3110940,양재근린공원(양재2동주민센터),1
3110941,언남고등학교,2
3110942,염곡동 구룡사(포이동성당),19
3110943,법제교육센터(버들어린이공원),8
3110944,서울나래학교(염곡어린이공원),1
3110946,청계산원터골,4
3110947,청계산입구역 2번(내곡동주민센터),3
3110949,한남IC,6
3110951,신사은행나무공원,6
3110952,논현목련공원,2
3110953,학동근린공원,3
3110954,국기원,10
3110955,논현초등학교,31
3110956,언주역 8번,3
3110957,언북중학교,12
3110958,역삼역 4번,6
3110959,신구중학교,1
3110960,은광여고,3
3110961,언주역 3번,7
3110962,도산공원북측,2
3110963,역삼월드메르디앙아파트,2
3110965,언주역 6번,8
3110966,논현2동주민센터,9
3110967,역삼역 8번,4
3110968,강남구청역 2번,4
3110969,베르사이유1아파트,2
3110970,학동초등학교,1
3110971,선정릉역 4번,8
3110972,강남세브란스병원미래의학연구센터,3
3110973,강남구청역 4번,2
3110974,언주중학교,2
3110975,매봉역 1번,3
3110976,언북초등학교,4
3110977,논현로18길,1
3110978,도곡2동주민센터(대치중학교),3
3110979,청담초등학교,1
3110980,개포지구대옆,3
3110981,국악고교사거리,9
3110982,강남구보훈회관,2
3110983,국립국악고등학교,4
3110984,포이초등학교(개포목련어린이공원),9
3110985,청담근린공원,3
3110986,삼성중앙역 7번,1
3110987,영동대교남단,1
3110988,청담역 3번,3
3110989,대치동아우편취급국,6
3110990,청담역 12번,2
3110991,삼성중앙역 5번,2
3110992,도곡초등학교,8
3110994,개포고등학교,7
3110995,봉은사역 4번,5
3110996,대치2동주민센터,5
3110997,대청초등학교,27
3110998,은곡마을(은곡마을공원),6
3110999,윗방죽마을공원,9
3111000,대왕초등학교(세곡동사거리서남측),2
3111001,아래방죽마을공원(율현초등학교),4
3111002,한국교통안전공단 강남자동차검사소,1
3111003,삼전역 4번,16
3111004,삼전역 1번,20
3111005,삼전역 3번,8
3111006,석촌고분역 1번,12
3111007,석촌고분역 4번,6
3111008,석촌고분역 3번,5
3111009,송파책박물관,1
