query,found_name,score,reviewCount
지금;여기커피앤비어,,,
커피_#샵,스타벅스 미아뉴타운점,4.38,93
렌테,렌테,4.86,79
조앤도슨,조앤도슨,4.78,"2,187"
커피할루카,커피할루카,4.62,52
단희,단희,,4
쎄이썸띵,Say Something,,140
아이키친,아이키친,,5
레인드랍이수점,레인드랍커피 이수점,,8
더치앤빈서울고,더치앤빈 서울고사거리점,,21
메가엠지씨커피신림역,메가MGC커피 신림역점,4.51,15
팥고당명일명성점,팥고당 명일명성점,,24
카페효제눅,효제눅,4.52,205
홈스윗홈,홈스윗홈,,474
설빙상계역점,설빙 상계역점,4.37,47
커피빈신촌점,커피빈 신촌점,4.5,115
대복상회,대복상회,,15
명동커피숍,커피한약방,4.42,"3,472"
할리스신대방삼거리역점,할리스 신대방삼거리역점,,13
인치스,인치스,,491
동감,동감,,75
만랩커피동평화패션타운점,,,
티하우스,티하우스,,1
코코버블티명동,코코버블티 명동점,4.5,80
달리는커피서울삼각산점,달리는커피 서울삼각산점,,30
카페클라라,카페클라라,,0
퐁치커피이수역점,퐁치커피익스프레스 이수역점,,8
카페HBD,카페에이치비디 / 머글즈케이크,4.77,54
누와,누와,,47
카페오방,카페 오방,,21
카페하이,카페하이,4.75,43
빽다방,빽다방 정릉시장점,,2
플로우FLOW,미드스트오브플로우,,315
유니토스엔카페주,,,
카마노,카마노커피,,0
롯데컬처웍스㈜롯데시네마가양,,,
카페쿠디,카페 쿠디,,55
커피기업디타워돈의문점,커피기업 디타워돈의문점,4.46,17
메가엠지씨커피,메가MGC커피 석관점,4.55,12
Webconey,,,
씽씽커피,씽씽커피,4.21,1
카페리시오,카페리시오,4.77,0
삼광석회카페아셀,,,
웜히어,웜히어,,87
커피볶는집낙타,커피볶는집낙타,4.86,23
매머드익스프레스을지로,매머드익스프레스 을지트윈타워점,4.4,2
카페레인보우,카페 레인보우,,92
에그카페24,에그카페24,,2
카페보스,카페보스 서울화곡점,,1
컴포즈커피서울경희대점,컴포즈커피 서울경희대점,,2
비브릿지,비브릿지,,1
까까당,까까당,,28
차밍디쉬,에스토스 커피와 차밍디쉬 디저트,4.66,91
빈스빈스커피가로수길점,,,
베러,베러,,3
광흥창카페,광흥창카페,4.35,12
한잎,한잎,4.49,13
채플린커피호프,,,
정정,정정,,994
놀면뭐하개,,,
카페아에,카페아에 종로점,4.72,39
에스티이사사,st.244,4.49,29
디무무,,,
행스카페,,,
민스가베,민스가베,,0
커스텀커피세곡점,커스텀커피 세곡점,,34
요지트,요지트 성신여대점,,29
노란손수건,노란손수건커피 본점,4.73,5
설빙충무로점,설빙 충무로점,4.33,106
카페529,,,
끼,끼,,0
얀앤욘,cafe YaY,,168
조블라,조블라,,348
로투스랩,,,
백스트로크,,,
커딕트커피CODDICTCOFFEE,,,
세드릭커피컴퍼니,,,
아임빈,아임빈,4.41,22
연진,연진네토종닭,4.27,34
퀸즈베리도넛하우스,퀸즈베리도넛하우스 신당본점,,"1,136"
방배동커피집,방배동커피집 내방역점,4.77,46
비어니스트유기농베이커리,비어니스트 유기농베이커리,4.75,40
베가니끄,veganique,4.58,119
요거프레소,요거프레소 정릉1호점,4.5,6
원피앤에스,,,
빽다방노원문화의,빽다방 석계역문화공원점,,5
인텔리젠시아커피서촌,인텔리젠시아 커피 서촌,,708
워니트리,워니트리,,18
오늘의위로,오늘의 위로,4.68,1
밍기적,밍기적,,212
스위트이스트,,,
소소카페,소소 카페,4.53,0
마을찻집마주이야기,마을찻집 마주이야기,4.83,42
매머드익스프레스용산,매머드익스프레스 신용산점,,40
일찍여는카페,이화가배,,10
피카롱,,,
이디야커피대림1동점,이디야커피 대림1동점,4.58,5
오도레,오도레D,4.81,150
커피베이서초사임당점,커피베이 서초사임당점,,13
사가커피,사가커피,,0
케이오지,KOG,,42
할로,할로,,47
샌드데이,샌드데이,,5
뉴서울호텔,곤트란쉐리에 뉴서울호텔점,4.43,41
뉴제로마켓,뉴제로마켓,,1
비엔나커피하우스,비엔나커피하우스 서울숲역점,4.35,129
빽다방동묘역점,빽다방 동묘역점,4.34,7
더벤티,더벤티 정릉중앙점,,7
별콩다방,별콩다방,,173
낙랑파라,낙랑파라,4.25,"1,001"
헤이키커피충무로점,헤이키커피 충무로점,,3
만렙커피,만렙커피 구의점,4.41,14
이디야상봉,이디야상봉홈플러스점,4.3,22
빽다방상봉이지,빽다방 상봉이지팰리스점,,18
빅벨에프앤비,,,
신천비버리지,,,
잎차,이프차,,209
부트카페,부트 카페 서촌,4.3,679
아마스빈미아사거리역점,아마스빈 미아사거리역점,4.44,23
골드버튼커피,골드버튼커피,,429
에이치지케이그룹이태원지점,에이치지케이그룹,,0
은정,은정,4.36,4
모크커피;MOCC,,,
ㅤㅁㅗㅋ커피점,,,
발렙,balab,,15
골든볼,골든볼,4.57,1
채가/구테로이테,,,
정,정,4.41,651
리드커피스탠드,리드커피스탠드,4.73,41
더룸컴퍼니,더로즈 인천부평점,4,365
노아스로스팅파스텔시티점,노아스로스팅 파스텔시티점,,128
카페봄울,카페봄울,,8
페라주,,,
글레이트,,,
이루리,cafe 이루리,,6
커피빈방배카페골목점,커피빈 방배카페골목점,4.52,44
공차서울과학기술대점,,,
메가엠지씨커피동평화점,,,
서서울,서서울농협 두레우가,4.26,127
죠아찌쥬스,죠아찌쥬스,,0
더에일,더에일,4.3,18
한국농아인협회서울특별시협회은평구지회사,,,
미미씨,MIMICI,,21
어텐디북촌점,어텐디 북촌,4.56,330
위드미건대입구역점,위드미 건대입구역점,,0
세움사회적협동조합,,,
버티컬,버티컬커피,,807
10꼬르소꼬모카페,10꼬르소꼬모 카페 청담점,4.31,575
10꼬르소꼬모,10꼬르소꼬모 카페 청담점,4.31,575
사직커피,사직커피,4.55,585
카페엔지,엔제리너스 명동점,4.39,129
스톡드!,,,
텐퍼센트스페셜티커피서초역점,텐퍼센트커피 서초역점,,3
리틀웜히어,리틀 웜히어,,3
리와리커피패밀리,,,
