상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호
MA0101202310A0071761,무이로커피,,3110433,공릉역 2번,서울특별시 노원구 동일로186길 77-7,37.6257618661369,127.077030313013,서울특별시 노원구 공릉동 504-15,1843
MA0101202305A0159299,이스트릿,,3120096,"이화여대(이대역, 이대)",서울특별시 서대문구 이화여대길 88-19,37.5594967335427,126.943942204182,서울특별시 서대문구 대현동 34-44,3765
MA0101202411A0100932,카페코지이대,본점,3120096,"이화여대(이대역, 이대)",서울특별시 서대문구 이화여대길 88-19,37.5594967335427,126.943942204182,서울특별시 서대문구 대현동 34-44,3765
MA0101202409A0037892,업스토어커피,,3120009,종로3가역,서울특별시 종로구 종로 122,37.5700783934869,126.991125473325,서울특별시 종로구 종로3가 120,3192
MA010120220810035494,행촌7-1,,3110007,사직공원(한국사회과학도서관),서울특별시 종로구 송월1길 60,37.5723530058951,126.964829091157,서울특별시 종로구 행촌동 7-1,3178
MA0101202409A0023329,모킹버드,,3110219,삼육보건대학교,서울특별시 동대문구 망우로18가길 23,37.5889024640056,127.061548560587,서울특별시 동대문구 휘경동 286-136,2499
MA010120220813175851,아부,,3120008,인사동,서울특별시 종로구 우정국로 50-4,37.5735463711269,126.983257610277,서울특별시 종로구 견지동 68-19,3145
MA010120220811486123,메가엠지씨커피마포아트,센터점,3110578,대흥역 2번,서울특별시 마포구 대흥로20길 28,37.5497937649595,126.945601677832,서울특별시 마포구 대흥동 30-3,4136
MA0101202311A0011126,아토커피,잠실점,3120230,송파사거리(송파역),서울특별시 송파구 송파대로39길 1-10,37.5023632754152,127.109021813875,서울특별시 송파구 석촌동 294,5687
MA0101202409A0243628,카페요아정,방이점,3130313,방이시장,서울특별시 송파구 백제고분로48길 3,37.51183738322,127.113752172212,서울특별시 송파구 방이동 149-20,5631
MA010120220808156320,카페밀,,3110897,서울대입구역 8번,서울특별시 관악구 남부순환로233길 13,37.4801152134182,126.958054871911,서울특별시 관악구 봉천동 1672-23,8740
MA010120220814092028,카페민,,3110433,공릉역 2번,서울특별시 노원구 동일로184길 6,37.6234841784611,127.07420738034,서울특별시 노원구 공릉동 517-30,1845
MA0101202212A0074092,이디야커피,대학로점,3120012,대학로(혜화역),서울특별시 종로구 대학로10길 17,37.5820889406996,127.003181304281,서울특별시 종로구 동숭동 1-67,3086
MA010120220800024620,이디야커피,대학로점,3120012,대학로(혜화역),서울특별시 종로구 대학로10길 17,37.5820889406996,127.003181304281,서울특별시 종로구 동숭동 1-67,3086
MA010120220804177946,스테이블커피로스터스,,3120164,내방역,서울특별시 서초구 방배로25길 25,37.4882584671673,126.991598756452,서울특별시 서초구 방배동 873-23,6573
MA0101202307A0044765,눅,,3110576,대흥역 3번,서울특별시 마포구 독막로 253-1,37.5464582638872,126.941813249982,서울특별시 마포구 대흥동 327-5,4151
