상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
챔스빈커피상,왕십리점,3110115,상왕십리역 3번,서울특별시 성동구 도선동 406,서울특별시 성동구 무학로 8-3,1,127.030322985294,37.5649301469621,136,상왕십리,2,11,상왕십리역
모노커피,,3120012,대학로(혜화역),서울특별시 종로구 명륜4가 77-2,서울특별시 종로구 대학로11길 32,1,126.999988678608,37.5822511624077,157,혜화,4,154,명륜3가.성대입구(중)
커피,역삼점,3110972,강남세브란스병원미래의학연구센터,서울특별시 강남구 역삼동 781-41,서울특별시 강남구 논현로66길 9,1,127.041116189611,37.4941712300666,831,역삼,2,157,도곡1차아이파크.역삼청소년수련관
달리는커피응암,1호점,3110469,응암정보도서관,서울특별시 은평구 응암동 721-10,서울특별시 은평구 응암로12길 22,1,126.918797434762,37.5873588922994,621,새절,6,208,대림시장
피츠로이커피,,3130315,문정동 로데오거리 상점가(문정동 로데오거리),서울특별시 송파구 문정동 41-13,서울특별시 송파구 송파대로22길 23,1,127.124266412777,37.4884997561911,327,문정,8,223,문정1동주민센터.로데오거리
카페안나,,3110713,구로보건소,서울특별시 구로구 구로동 546-4,서울특별시 구로구 공원로7길 12,1,126.888230362647,37.502135456167,788,신도림,2,484,구로역.나인스애비뉴
메가엠지씨커피신림프라임법학원점,,3110886,관악해태어린이공원,서울특별시 관악구 신림동 131-21,서울특별시 관악구 신림로 90,1,126.939362225903,37.4709348197358,1296,봉천,2,117,대학동고시촌입구
카페슬래시,,3110524,연희세브란스병원,서울특별시 서대문구 대신동 50-7,서울특별시 서대문구 성산로 519,1,126.943430042466,37.5632716651126,759,이대,2,27,이대후문(중)
티브비,,3110470,신진과학기술고등학교,서울특별시 은평구 응암동 120-34,서울특별시 은평구 응암로21가길 29,1,126.91815363626,37.5962692569821,343,응암,6,102,백련산SK뷰아이파크아파트
드럭스토어커피,,3120194,언주역(차병원),서울특별시 강남구 역삼동 650-18,서울특별시 강남구 논현로 564,1,127.034642274065,37.5063278773532,650,역삼,2,89,차병원
코지빌라커피,,3110082,용산구청,서울특별시 용산구 이태원동 74-45,서울특별시 용산구 이태원로20길 32,1,126.992430978214,37.532939336716,242,이태원,6,311,용산구청
카페키노르,,3120027,명동역(명동재미로),서울특별시 중구 남산동2가 32-13,서울특별시 중구 퇴계로18길 33,,126.985162204833,37.5593198997178,335,명동,4,218,남산3호터널.서울애니메이션센터
