"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20203","A","골목상권","3110987","영동대교남단","248555","122421","126134","28043","38255","53442","48874","38519","41423","65422","53888","31143","29335","37854","30913","34788","35811","36302","36657","36563","35138","33298"
"20203","A","골목상권","3110986","삼성중앙역 7번","300775","150446","150329","25830","52591","70221","65410","37640","49083","72649","63157","42326","41573","47281","33791","45687","45834","45112","45794","44767","37387","36195"
"20203","A","골목상권","3110985","청담근린공원","376085","182696","193389","28515","61210","84333","71436","50386","80204","87067","80721","52826","50995","61277","43200","54382","55910","55089","56294","55631","50559","48221"
"20203","A","골목상권","3110984","포이초등학교(개포목련어린이공원)","893493","411126","482366","160151","100630","149807","152533","138296","192078","301363","203953","98182","86131","105824","98041","129886","128616","128294","128517","128270","123862","126047"
"20203","A","골목상권","3110983","국립국악고등학교","420759","196789","223971","84433","53544","54945","72356","72494","82988","123907","87036","48021","46975","61439","53381","61343","61061","61138","61121","60492","58029","57574"
"20203","A","골목상권","3110982","강남구보훈회관","415376","183666","231711","97205","46207","71671","92746","42622","64926","111262","89453","50706","51119","63782","49054","59612","58073","58407","58326","58166","60622","62171"
"20203","A","골목상권","3110981","국악고교사거리","518680","251272","267409","81880","62904","95373","95650","85350","97524","140535","106096","65432","62328","81044","63245","75269","74425","74200","75464","74672","72412","72237"
"20203","A","골목상권","3110980","개포지구대옆","431237","210848","220389","63127","56888","68268","79933","71172","91848","112807","91749","55219","54513","65934","51013","64539","64765","63958","63887","63285","55088","55714"
"20203","A","골목상권","3110979","청담초등학교","270554","117673","152880","44322","35742","49824","48932","34796","56938","70296","59494","35738","35086","39489","30450","38654","40258","39533","40129","40390","37065","34525"
"20203","A","골목상권","3110978","도곡2동주민센터(대치중학교)","21851","10524","11326","2284","3364","4108","4258","3533","4302","4184","4436","3390","3194","4186","2460","3270","3357","3292","3342","3370","2658","2561"
